Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,-0.0054323592152499935,-0.0054323592152499935,-0.0054323592152499935,0.0,0.0,-184.0,0.0,0.0,-184.00077892607328,0.0,-1.433179351732963e-14,-184.0000024755281,-0.2174888837468515,-0.21748888374685163,-0.21748888374685163,-0.006561687849937975,-0.00656168784993798,-0.00656168784993798
0.01,-0.0002363186774614137,-0.00023814052767869763,-0.00023662310043166156,-0.04210422853122876,-0.04259291838058935,-0.042185785779572896,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.01048804081971451,0.01062668308758228,0.01051119690660384,0.0,0.0,-184.0,-0.00022148725557296042,-0.00017915634780337096,-184.04957174946412,0.0,-1.433179351732963e-14,-184.0000024755281,-1.169663946741662,-0.8460979866608555,-1.115842826854723,-0.03343427492404906,-0.027598945010682736,-0.032464300500282546
0.02,-0.0008598895031068706,-0.0008746862814084371,-0.0008623507902627951,-0.07793495745550363,-0.08009000810682507,-0.07829245461329667,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.04823093949114269,0.04921598990940336,0.04839471596340527,0.0,0.0,-184.0,-0.0015760577385263797,-0.0012728524879024978,-184.16591095156352,0.0,-1.433179351732963e-14,-184.0000024755281,-2.4180395923556963,-1.660073976465922,-2.2933011401647625,-0.06535649520185806,-0.05250240194532037,-0.06324363688181432
0.03,-0.0018045864274419741,-0.0018565201660447766,-0.0018131837357453547,-0.1069525721213406,-0.11215804152605216,-0.10781048033318684,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.10398070526266513,0.1072765977402347,0.10452604827454072,0.0,0.0,-184.0,-0.005283215687930047,-0.004259800801802549,-184.3391434649786,0.0,-1.433179351732963e-14,-184.0000024755281,-3.884515042011537,-2.624814092071811,-3.6798884351205063,-0.09896267385290326,-0.07838441671353812,-0.09562692910952442
0.04,0.004329039705474342,-0.006747892789200454,-0.006641340055230578,-0.1289441162528323,-0.13865210505964462,-0.13053268588832076,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.17401490527498828,0.18155476621513378,0.17491678559110507,0.0,1.3888888888888888,-184.0,-0.012764789493608547,-0.009372366369373832,-184.5582281821375,0.0,1.388888929631816,-184.00000247525816,2.8477912444596103,-6.3585346496527455,-9.168923525435966,0.1187303062038363,-0.18464830139979405,-0.24792959502736908
0.05,0.002791617616228051,-0.008204568755837959,-0.007965944509632837,-0.17081753780364323,-0.1512129185650903,-0.13403402126734362,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.264321860059424,0.2657459379371212,0.2510380817979111,0.0,1.3888888888888888,-184.0,-0.028321105965245397,0.01318482120326421,-184.8142773648092,0.0,1.388888929631816,-184.00000247525816,0.4981430145697722,-7.3715835354892345,-10.464430264336537,-0.044377704333492154,-0.17054924681488423,-0.21856155711231948
0.06,0.000912508607202045,-0.009767638880972112,-0.00930743302100297,-0.20035149679299932,-0.15980641063262352,-0.13354287549435553,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.37362011475878065,0.35577018612295574,0.3278450094703778,0.0,1.3888888888888888,-184.0,-0.05385178949650262,0.07083847652695385,-185.09676649848103,0.0,1.388888929631816,-184.00000247525816,-2.010186940530933,-8.40372787830482,-11.702497241744158,-0.0956415904305503,-0.19085305507333694,-0.23974548016533803
0.07,-0.0012057737593659714,-0.011392733555099328,-0.010619498317717848,-0.21972018900318152,-0.16410107199567728,-0.1286870439740759,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.49604144243494214,0.44910374252898766,0.40271956614089494,0.0,1.3888888888888888,-184.0,-0.08958836540366845,0.15640414805926217,-185.39448779356098,0.0,1.388888929631816,-184.00000247525816,-4.60671276180765,-9.425267185398516,-12.832686138608688,-0.145433969719768,-0.20975145594412523,-0.257850280468956
0.08,0.003926819162246473,-0.01659779424023439,-0.015421045261784554,-0.2293910168242489,-0.1644469786682301,-0.12011318448150847,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.6261972305992031,0.5433297596664375,0.4732755223272415,0.0,2.7777777777777777,-184.0,-0.13552013708127678,0.26334444086960795,-185.69700585094523,0.0,2.7777778591786118,-184.00000247444999,1.2270852719613266,-13.03779433448179,-17.7400177341364,0.06178971074101726,-0.30608562817363577,-0.39062311796782273
0.09,0.001460893541621551,-0.0181787866518146,-0.01648782154020646,-0.2571899843945453,-0.15303163404985037,-0.09626591548287448,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.7688868036970457,0.6332820438057866,0.5330793982969352,0.0,2.7777777777777777,-184.0,-0.19414706431464968,0.41546526477598544,-185.9972451293492,0.0,2.7777778591786118,-184.00000247444999,-1.9368328027167143,-13.833147354983515,-18.28005206845689,-0.11195851748891188,-0.28190433247593255,-0.34129684905978025
