Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-0.0065108975395560265,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,4.203895392974451e-45,0.003076956257050804,0.004350717729303195,0.004350717729303195,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.36734694242477417,0.0,0.0,0.0,0.0,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,-1.433179351732963e-14,-184.0000024755281,-0.27556857466697693,-0.010448613204061985,-0.101244255900383,-0.3385792672634125,0.47260582447052,0.2498892843723297
0.04,-0.0065108975395560265,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,4.203895392974451e-45,0.003076956257050804,0.004350717729303195,0.004350717729303195,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.36734694242477417,0.0,0.0,0.0,1.3888888888888888,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,1.388888929631816,-184.00000247525816,-0.2747360169887543,-0.006603171583265066,-0.10261858999729156,-0.33719322085380554,0.33179575204849243,0.32044586539268494
0.08,0.0008194851689040661,-0.0037192965392023325,-0.0037192965392023325,0.0008937547099776566,-0.0004413445421960205,-0.0004413445421960205,0.004328203536144139,0.003818077484668574,0.003818077484668574,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.0,0.0,0.0,2.7777777777777777,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,2.7777778591786118,-184.00000247444999,-0.10069435834884644,-0.06440231949090958,-0.16223423182964325,-0.3921996057033539,0.07686445862054825,0.16508498787879944
0.12,0.0017977962270379066,-0.007278022821992636,-0.007278022821992636,-0.03337259218096733,-0.0003707569558173418,-0.0003707569558173418,0.0042578315834103705,0.0029382467720864584,0.0029382467720864584,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.7346938848495483,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,1.6330321028263182,-184.75951428203763,0.0,4.166666788627427,-184.00000247310643,-0.1034359410405159,-0.1419249176979065,-0.2384415715932846,-0.29263076186180115,0.13545505702495575,0.15911003947257996
0.16,0.0028371941298246384,-0.010775662958621979,-0.010775662958621979,-0.09006636589765549,-0.0003650505968835205,-0.0003650505968835205,0.0041068470259249,0.002751219109323662,0.002751219109323662,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.1020407676696777,0.0,0.0,0.0,5.555555555555555,-184.0,0.0,2.4542543269909762,-185.12615727602827,0.0,5.555555717965612,-184.0000024712306,-0.09019987285137177,-0.25278913974761963,-0.3446996212005615,-0.7471970319747925,-0.30247020721435547,-0.45705217123031616
0.2,0.003935931250452995,-0.01421396154910326,-0.01421396154910326,-0.0003140100743621588,-0.00040606840047985315,-0.00040606840047985315,0.0037329439487581067,0.0028084365382034394,0.0028084365382034394,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.4693877696990967,0.0,0.0,0.0,6.944444444444445,-184.0,0.0,3.2786099842531713,-185.48981376096114,0.0,6.944444647180646,-184.00000246882576,-0.030450528487563133,-0.3526255488395691,-0.45157578587532043,-0.3579409718513489,-0.4930666387081146,-0.26685720682144165
0.24,0.005092263221740723,-0.017591172829270363,-0.017591172829270363,-0.023985106498003006,-0.00035273912362754345,-0.00035273912362754345,0.0033666644792849747,0.002879758271329849,0.002879758271329849,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,1.8367347717285156,0.0,0.0,0.0,8.333333333333332,-184.0,0.0,4.106095302894083,-185.8504579384079,0.0,8.333333576260197,-184.00000246589542,-0.006497179623693228,-0.4209236800670624,-0.5165654420852661,-0.2685464024543762,-1.059699296951294,-0.9327282309532166
0.28,-0.00010347366333007812,-0.01449762936681509,-0.02090904302895069,-0.5697839260101318,0.002020888263359666,-0.0009680428192950785,0.004681874409443359,0.0028137438539677226,0.0031568941078046597,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,-0.36734694242477417,0.0,0.0,9.722222222222221,-184.0,0.7127528970206661,6.170062388140151,-186.16938189978487,0.0,9.722222505192178,-184.00000246244346,-0.4183332324028015,-0.3259021043777466,-0.5796584486961365,-0.5744547843933105,-0.845308244228363,-1.2184526920318604
0.32,0.0011663064360618591,-0.017752669751644135,-0.02416408434510231,-0.006393899209797382,-0.0007901290082372725,-0.0007963441894389689,0.004308204222768646,0.0028834264440918992,0.0031568924453158516,3.448966665596679,-1.5675957892444874,-1.5675957892444874,2.9387755393981934,-0.36734694242477417,0.0,0.0,11.11111111111111,-184.0,0.7140937414542162,7.005947075364886,-186.5183209327343,0.0,11.111111433964691,-184.0000024584738,-0.06783518195152283,-0.43199464678764343,-0.6194248199462891,-0.5886696577072144,-0.9687516093254089,-0.8805764317512512
0.36,-0.003917735069990158,-0.014536954462528229,-0.02735978178679943,-0.5246021747589111,0.09471070021390915,-0.0007819464663043618,0.004077473347004891,0.0028133489180261293,0.003156892305960399,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.6734695434570312,-0.7346938848495483,0.0,0.0,12.5,-184.0,1.430663095763628,9.08191399882581,-186.80317200484365,0.0,12.500000362566114,-184.0000024539906,-0.42439818382263184,-0.27660608291625977,-0.6842958331108093,-0.7789005637168884,-0.4405421018600464,-1.0928796529769897
