Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004314471731743383,0.004314471731743383,0.004314471731743383,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,-0.004909519518594475,-0.004909519518594474,-0.004909519518594474,0.0,0.0,-184.0,0.0,-1.2574596653209127e-18,-184.002375716508,0.0,-1.433179351732963e-14,-184.0000024755281,-0.2174888837468515,-0.21748888374685163,-0.21748888374685163,-0.006561687849937975,-0.00656168784993798,-0.00656168784993798
0.01,-0.0007236510619517836,-0.000723651061951784,-0.000723651061951784,-0.12947533589245652,-0.12947533589245658,-0.12947533589245658,0.004372261345346366,0.004372261345346366,0.004372261345346366,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.04389046098360183,0.04389046098360186,0.04389046098360186,0.0,0.0,-184.0,0.0,-4.0271326902243774e-17,-184.1514733896645,0.0,-1.433179351732963e-14,-184.0000024755281,-2.7472080151004423,-2.747208015100444,-2.7472080151004437,-0.08782096081987664,-0.0878209608198767,-0.08782096081987668
0.02,-0.00266105579800465,-0.002661055798004651,-0.0026610557980046514,-0.24387144566217414,-0.24387144566217425,-0.24387144566217422,0.004181163209041046,0.004181163209041046,0.004181163209041045,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.16135518456092088,0.16135518456092093,0.16135518456092093,0.0,0.0,-184.0,0.0,-1.614002734821319e-16,-184.51083928435875,0.0,-1.433179351732963e-14,-184.0000024755281,-6.339846049925841,-6.339846049925845,-6.339846049925845,-0.1836756375214705,-0.18367563752147065,-0.18367563752147065
0.03,-0.0056427207931843675,-0.005642720793184369,-0.00564272079318437,-0.33864811562849495,-0.33864811562849517,-0.33864811562849506,0.0029402804302643545,0.0029402804302643528,0.0029402804302643528,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.3374477777857568,0.33744777778575685,0.3374477777857569,0.0,0.0,-184.0,1.4018774888662004e-16,-2.428123036703332e-16,-185.05083113752352,0.0,-1.433179351732963e-14,-184.0000024755281,-14.287940322285909,-14.287940322285921,-14.287940322285923,-0.3605059636474258,-0.36050596364742604,-0.3605059636474261
0.04,-0.0020870001015840765,-0.013036371067956281,-0.013036371067956281,-0.406387640173538,-0.4063876401735383,-0.406387640173538,0.004305391500610751,0.002655180330457448,0.002655180330457448,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.5577492423058106,0.557287743763316,0.557287743763316,0.0,1.3888888888888888,-184.0,0.0,0.0010310312181155874,-185.72756831317585,0.0,1.388888929631816,-184.00000247525816,-6.4575125955829815,-28.56278174173259,-28.562781741732586,-0.05162071308273494,-0.7185415849776345,-0.7185415849776345
0.05,-0.006584081395568346,-0.01725565075106396,-0.017255585129509393,-0.47781231720450246,-0.4320999162046552,-0.4320789487136459,0.002902790246670778,0.0025949216104214304,0.0025949218722510076,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.8192015847164994,0.8004505640894117,0.8004452340127179,0.0,1.3888888888888888,-184.0,-1.0353924060073611e-05,0.04206553190092896,-186.49715593440743,0.0,1.388888929631816,-184.00000247525816,-17.11460620750385,-35.82128090112995,-35.81891270453711,-0.43049844302563295,-0.743966712574917,-0.7439143455476633
0.06,-0.011612787349109104,-0.021623131511192138,-0.021622285759272428,-0.5185887630900475,-0.43748322506556164,-0.43733634030783197,0.002719241295887109,0.002588027664277199,0.0025880276408805736,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,1.109496549790389,1.0508822880320894,1.0508241795659206,0.0,1.3888888888888888,-184.0,-0.00011335781284155976,0.13209838652140954,-187.3145653451988,0.0,1.388888929631816,-184.00000247525816,-26.349037278922143,-42.38466669820478,-42.37233143243875,-0.6133770302257958,-0.8570492493961263,-0.8567781858327985
0.07,-0.01688183281856162,-0.02593758750383925,-0.02593375878939437,-0.5299002001491404,-0.42389585942513563,-0.42344239342690954,0.002596839963189536,0.002588025469930558,0.002588025395649861,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,1.4118947153951742,1.2972050798367893,1.2969572896943813,0.0,1.3888888888888888,-184.0,-0.0004854501984425698,0.25972907191351385,-188.13911419817066,0.0,1.388888929631816,-184.00000247525816,-35.81031422975808,-48.33518388855504,-48.30007647644919,-0.7747958013675852,-0.9552108648208979,-0.9544453145338916
0.08,-0.01474495112783204,-0.033585380671272605,-0.0335742875000505,-0.5186475550357484,-0.39442914522921624,-0.3934434658019515,0.002617068033621892,0.0025880205035215113,0.002588020332515148,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.7124201458024157,1.5295827739892167,1.5288869096150266,0.0,2.7777777777777777,-184.0,-0.0013688716008473285,0.4160997449503106,-188.9355252486912,0.0,2.7777778591786118,-184.00000247444999,-30.970126137117084,-59.59807577682405,-59.52327243430105,-0.5223984618325235,-1.2174811044837246,-1.2158671010413322
0.09,-0.01993445112372226,-0.03723476641365469,-0.03720969949919162,-0.514525271559741,-0.34003267462355413,-0.33825356832443404,0.0025886945317821894,0.002588010600705349,0.0025880102609605157,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,2.009287354834274,1.7355569858198865,1.7340132879425583,0.0,2.7777777777777777,-184.0,-0.003048201441516159,0.6258932819168372,-189.6751444851762,0.0,2.7777778591786118,-184.00000247444999,-39.20386562701876,-63.65010930930931,-63.510798778069464,-0.8299794814670572,-1.1925394099279025,-1.1895563813375662
