Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.0,0.0,0.0,0.0,0.0,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,-1.433179351732963e-14,-184.0000024755281,-0.013674360699951649,-0.013433202169835567,-0.01405694056302309,0.001614261418581009,-0.06011334806680679,-0.054478466510772705
0.04,-9.94837682810612e-05,-9.94837682810612e-05,-9.94837682810612e-05,-4.203895392974451e-45,-4.203895392974451e-45,-4.203895392974451e-45,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.0,0.0,0.0,0.0,1.3888888888888888,-184.0,0.0,-7.165896722166769e-15,-184.0173703997271,0.0,1.388888929631816,-184.00000247525816,-0.006011161021888256,-0.005863404832780361,-0.007623021490871906,-0.20175661146640778,-0.23617005348205566,-0.15011872351169586
0.08,0.0008194851689040661,-0.0037192965392023325,-0.0037192965392023325,-0.037422265857458115,-0.00019899356993846595,-0.00019899356993846595,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,0.36734694242477417,0.0,0.0,0.0,2.7777777777777777,-184.0,0.0,0.8149462349152361,-184.3899101585922,0.0,2.7777778591786118,-184.00000247444999,-0.011353570967912674,-0.048718053847551346,-0.07232041656970978,0.06852369010448456,-0.13584718108177185,-0.09801353514194489
0.12,0.0017977962270379066,-0.007278022821992636,-0.007278022821992636,-0.3347771465778351,-0.0003510971728246659,-0.0003510971728246659,0.003727,0.006,0.00398,1.264637646746067,-0.6174374392463308,-0.6174374392463308,0.7346938848495483,0.0,0.0,0.0,4.166666666666666,-184.0,0.0,1.6330321028263182,-184.75951428203763,0.0,4.166666788627427,-184.00000247310643,-0.1322946846485138,-0.0921221598982811,-0.1370210349559784,0.06068085506558418,-0.1096007376909256,-0.09570062160491943
0.16,-0.0035742204636335373,-0.010775662958621979,-0.010775662958621979,-0.15111248195171356,-0.00029341361369006336,-0.00029341361369006336,0.003727,0.006,0.00398,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,1.4693877696990967,0.0,0.0,0.0,5.555555555555555,-184.0,0.0,3.2786099842531713,-185.48981376096114,0.0,5.555555717965612,-184.0000024712306,-0.13682013750076294,-0.12112883478403091,-0.18775352835655212,-0.2602657377719879,-0.19851836562156677,-0.2975674867630005
0.2,-0.0024754833430051804,-0.01421396154910326,-0.01421396154910326,-0.001534770824946463,-0.00028805225156247616,-0.00028805225156247616,0.003727,0.006,0.00398,2.128546368772262,-1.0079325314075522,-1.0079325314075522,1.8367347717285156,0.0,0.0,0.0,6.944444444444445,-184.0,0.0,4.106095302894083,-185.8504579384079,0.0,6.944444647180646,-184.00000246882576,-0.041237130761146545,-0.16819410026073456,-0.25326278805732727,-0.15887068212032318,-0.16951978206634521,-0.25750532746315
0.24,-0.0013191476464271545,-0.017591172829270363,-0.017591172829270363,-0.39361655712127686,-0.0002829344884958118,-0.0002829344884958118,0.003727,0.006,0.00398,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,2.2040815353393555,0.0,0.0,0.0,8.333333333333332,-184.0,0.0,4.936706053388413,-186.20806377766627,0.0,8.333333576260197,-184.00000246589542,-0.22239388525485992,-0.20641547441482544,-0.31080731749534607,0.1404552012681961,-0.11224397271871567,-0.36661437153816223
0.28,-0.00010347366333007812,-0.02090904302895069,-0.02090904302895069,-0.0037869676016271114,-0.00027829952887259424,-0.00027829952887259424,0.003727,0.006,0.00398,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,2.5714285373687744,0.0,0.0,0.0,9.722222222222221,-184.0,0.0,5.770439439177291,-186.56260582370103,0.0,9.722222505192178,-184.00000246244346,-0.009335299953818321,-0.24186724424362183,-0.36295971274375916,0.796934962272644,-0.2918797731399536,-0.622727632522583
0.32,-0.0052451081573963165,-0.02416408434510231,-0.02416408434510231,-0.3968924582004547,-0.0002728647377807647,-0.0002728647377807647,0.003727,0.006,0.00398,3.448966665596679,-1.5675957892444874,-1.5675957892444874,3.3061225414276123,0.0,0.0,0.0,11.11111111111111,-184.0,0.0,7.4472560671002235,-187.26239356767093,0.0,11.111111433964691,-184.0000024584738,-0.2778036296367645,-0.2690216600894928,-0.411459356546402,-0.414050817489624,-0.6774358153343201,-0.9964896440505981
0.36,-0.003917735069990158,-0.02735978178679943,-0.02735978178679943,-0.1016940176486969,-0.00026772782439365983,-0.00026772782439365983,0.003727,0.006,0.00398,3.895449361510757,-1.7471839477341022,-1.7471839477341022,3.6734695434570312,0.0,0.0,0.0,12.5,-184.0,0.0,8.29033061854632,-187.6075868379748,0.0,12.500000362566114,-184.0000024539906,-0.10867375135421753,-0.31297484040260315,-0.4775561988353729,-0.12009915709495544,-0.5198462009429932,-0.7431502938270569
