Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,-0.0056865952695237,-0.0056865952695237,-0.0056865952695237,-0.0049095195185944,-0.0049095195185944,-0.0049095195185944,0.0,0.0,-184.0,0.0,-1.257459665320913e-18,-184.002375716508,0.0,-1.4331793517329633e-14,-184.0000024755281,-0.2174888837468515,-0.2174888837468516,-0.2174888837468516,-0.0065616878499379,-0.0065616878499379,-0.0065616878499379
0.04,-0.0021078910183354,-0.0133232506207447,-0.0131016015674281,-0.4155078526967649,-0.4361153215820245,-0.4189402957653916,0.003727,0.006,0.00398,0.4142868312709749,-0.2130659134252318,-0.2130659134252318,0.5594305640394062,0.5756882307901112,0.561921527116846,0.0,1.3888888888888888,-184.0,-0.0266390700429435,-0.0209458668714604,-185.75295389790853,0.0,1.388888929631816,-184.00000247525816,-8.645409293834843,-13.748361584148068,-20.011058528520724,-0.1644310184332959,-0.3996487035328415,-0.5205711202856537
0.08,-0.0161623471595368,-0.0387765765491982,-0.0365856435845685,-0.5982531295866896,-0.6159555786791233,-0.5308272058652739,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.7982701480778018,1.840086751824376,1.7095322926975411,0.0,2.7777777777777777,-184.0,-0.2576153641640973,0.053454882166258,-189.5388869648754,0.0,2.777777859178612,-184.00000247445,-25.73155449232448,-31.875240285784333,-44.9219661618578,-0.5100324367407774,-0.7626963768323936,-0.9795974150025356
0.12,-0.0327604027230306,-0.0666215129246322,-0.0590556648514097,-0.5614233092114114,-0.5750464371053455,-0.39443889536705,0.003727,0.006,0.00398,1.264637646746067,-0.6174374392463308,-0.6174374392463308,3.173791424364297,3.23242553691944,2.788431097585669,0.0,4.166666666666666,-184.0,-0.8943162513187985,0.3799466863397878,-193.6014051591192,0.0,4.166666788627427,-184.00000247310643,-41.98895758134832,-49.206484391293365,-64.72738884603339,-0.7783301634235931,-1.050014111092222,-1.2815892099897666
0.16,-0.0447570225015747,-0.0895967400847803,-0.0729846969737651,-0.39186950815046,-0.3938788394055969,-0.1318935032095409,0.003727,0.006,0.00398,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,4.281604259355049,4.341311730381358,3.3743970762203728,0.0,5.555555555555555,-184.0,-1.9768183393149044,1.0003124797027128,-196.5998870352728,0.0,5.555555717965612,-184.0000024712306,-51.37499140116127,-62.215316407610246,-73.90751820664516,-0.8929460989583646,-1.225222667582615,-1.3684926178183228
0.2,-0.0489975490541673,-0.1039186018467508,-0.0759555923251969,-0.1935036147635408,-0.1603202318854144,0.1319817898584542,0.003727,0.006,0.00398,2.128546368772262,-1.0079325314075522,-1.0079325314075522,4.946855631466914,4.954984663843957,3.336062995991265,0.0,6.944444444444445,-184.0,-3.3311666071161863,1.9039212422744325,-197.91823233612223,0.0,6.944444647180646,-184.00000246882576,-52.28626899785756,-69.40097563709043,-72.10177436816953,-0.8569144430380912,-1.287981911743373,-1.2698630160872912
0.24,-0.0461089291129055,-0.1090185307055106,-0.0698869033414286,-0.0470392473591327,0.0552059793705407,0.3089235533408057,0.003727,0.006,0.00398,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,5.209989119694614,5.044870252935858,2.7883444761404688,0.0,8.333333333333332,-184.0,-4.637097185609385,3.0694652163997977,-197.66351272485915,0.0,8.333333576260197,-184.00000246589545,-46.74383230370062,-70.93866494095714,-62.77293234772666,-0.727427037425339,-1.2610965785111636,-1.0692049854180057
0.28,-0.039098044285159,-0.1065835970233651,-0.0591528154506785,0.0097242632045836,0.2103539943812318,0.3641504671825956,0.003727,0.006,0.00398,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,5.245335264892879,4.710017955354262,1.9837811256989215,0.0,9.72222222222222,-184.0,-5.567952746259707,4.478713507590721,-196.41354750843828,0.0,9.722222505192178,-184.00000246244343,-38.549379670881805,-68.12550678230531,-50.959690339354296,-0.5792071722328126,-1.1782432173570758,-0.861301744755068
0.33,-0.0318931310266198,-0.0964458631469706,-0.0454216763740239,-0.042426554173277,0.3008605359750622,0.2920762001898887,0.003727,0.006,0.00398,3.448966665596679,-1.5675957892444874,-1.5675957892444874,5.278864751477176,3.941065523415616,1.0182792808132075,0.0,11.11111111111111,-184.0,-5.913771369460415,6.543819473053687,-194.51076129864492,0.0,11.111111433964693,-184.0000024584738,-32.39443211009147,-60.64902096769946,-38.32940313709852,-0.616591699725839,-1.0052291809818343,-0.62943518753333
0.37,-0.0274025467426626,-0.0874375267616392,-0.0391885941743966,-0.1262189747488073,0.2975871987989987,0.1773589943156769,0.003727,0.006,0.00398,3.895449361510757,-1.7471839477341022,-1.7471839477341022,5.4728820936598686,3.245604693056118,0.4881566318438465,0.0,12.5,-184.0,-5.547441768760545,8.383002376274263,-193.34510829501795,0.0,12.500000362566114,-184.0000024539906,-29.396824869621813,-54.67768014320941,-34.10237867196856,-0.5966750799652862,-0.9146363826080448,-0.5983542718154957
