Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018307793921119,0.0018307793921119,0.0018307793921119,-0.0056865952695237,-0.0056865952695237,-0.0056865952695237,-0.0051455948107556,-0.0051455948107556,-0.0051455948107556,0.0,0.0,-184.0,0.0,-2.5149094771515618e-18,-184.0016547237477,0.0,-1.4331793517329633e-14,-184.0000024755281,-0.2174888837468515,-0.2174888837468516,-0.2174888837468516,-0.0065616878499379,-0.0065616878499379,-0.0065616878499379
0.04,0.0014989846356922,-0.0094503863306799,-0.0094503863306799,-0.2342779793167526,-0.2342779793167526,-0.2342779793167527,0.0018068792479917,0.0018068792479917,0.0018068792479917,0.4142868312709749,-0.2130659134252318,-0.2130659134252318,0.3423721267450187,0.3417130503898584,0.3417130503898584,0.0,1.3888888888888888,-184.0,-1.402893434487594e-16,0.0014673518475247,-185.0646041200351,0.0,1.388888929631816,-184.00000247525816,-2.199435216673322,-28.1407045582425,-28.140704558242504,0.1158960915649601,-0.6667577568435433,-0.6667577568435434
0.08,-0.0030959171871401,-0.0207399666583256,-0.0207290084331001,-0.3020122184852963,-0.1304680674472912,-0.1295153758473209,0.0018044283577551,0.0018131584535559,0.0018132378277625,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.0327356571420452,0.7783588605071754,0.7776729297049376,0.0,2.7777777777777777,-184.0,-0.0013336804238588,0.5718592282656554,-186.670273538765,0.0,2.777777859178612,-184.00000247445,-13.199064366324723,-49.06772640683688,-48.97445590996856,-0.0908445214217168,-0.9900966075092906,-0.9881600231435078
0.12,-0.0074034732662687,-0.0248070954878635,-0.0246827234151783,-0.243058071905803,0.0772628761638989,0.0824637666734604,0.0018065152985514,0.0018523752027776,0.0018543287230909,1.264637646746067,-0.6174374392463308,-0.6174374392463308,1.7029586917135882,0.7990771152241177,0.7916452431467847,0.0,4.166666666666666,-184.0,-0.0145047618697324,2.0452169595548564,-187.38863241252537,0.0,4.166666788627427,-184.00000247310643,-21.05324254620038,-50.11447414710482,-49.46463297509556,-0.2077401102235674,-0.945992091850264,-0.9330686839188442
0.16,-0.008586945037575,-0.0222014677081153,-0.021752133113706,-0.1649544169838149,0.1836611839108203,0.194516254148179,0.0018105919034265,0.0019132633443567,0.0019228305918809,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,2.1966127273291547,0.4469170311882958,0.4205439269504774,0.0,5.555555555555555,-184.0,-0.0514080085970569,3.967191377236949,-187.1194734732585,0.0,5.555555717965612,-184.0000024712306,-22.062995714055685,-39.94301151395152,-38.14878179731964,-0.2045757681304865,-0.7437949275482562,-0.709201245238276
0.2,-0.0073781215976587,-0.0180345394714342,-0.0170720502735862,-0.1295828769993945,0.1649065930635458,0.179170202716816,0.0018132321878331,0.0018985486715917,0.0019095362319325,2.128546368772262,-1.0079325314075522,-1.0079325314075522,2.559026422222485,0.0158644990854196,-0.0401002365339178,0.0,6.944444444444445,-184.0,-0.1087781811053038,5.768660073748986,-186.5248127204509,0.0,6.944444647180646,-184.00000246882576,-18.819561884238198,-32.31361886436846,-29.216078731039044,-0.1424924614082897,-0.6256897159842244,-0.5675754518314381
0.24,-0.0056687211075893,-0.0158530866471176,-0.0143232115599477,-0.1381137394121342,0.0961907650352937,0.1097001474275626,0.0018125387210811,0.0018598787233376,0.0018659412098208,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,2.8985381375789414,-0.2952076831691868,-0.3836320840383359,0.0,8.333333333333332,-184.0,-0.1715717213358425,7.251082181732115,-186.14737719357328,0.0,8.333333576260197,-184.00000246589545,-15.42114457889564,-30.64576822232025,-26.266696824362697,-0.0904177437376279,-0.6236252853642288,-0.5437300550206915
0.28,-0.0046863818086278,-0.0161487371835008,-0.0141555285617221,-0.1630057248149343,0.0458748489459281,0.0554675102342952,0.0018107218997762,0.001842079919974,0.0018449733279929,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,3.2838429445750648,-0.4619957846803734,-0.5767408381491511,0.0,9.72222222222222,-184.0,-0.2226510910499579,8.51657000426806,-186.1193497693064,0.0,9.722222505192178,-184.00000246244343,-13.86981288603059,-33.24004692623553,-27.855125142643143,-0.0740341658721735,-0.6867048494602165,-0.5904335053328565
0.33,-0.0065038207663606,-0.0170508926079956,-0.0146977504103974,-0.2031054773824676,0.0505936291967129,0.0561070652184366,0.001808348387455,0.0018434770650682,0.0018451736613555,3.448966665596679,-1.5675957892444874,-1.5675957892444874,3.833310588360648,-0.5935972519704568,-0.7287359572354422,0.0,11.11111111111111,-184.0,-0.2625463013051756,10.076571896073986,-186.3149887842269,0.0,11.111111433964693,-184.0000024584738,-19.290667382138707,-34.87346985723195,-28.691472472315287,-0.4241245104660645,-0.6174805612884605,-0.5076371276308439
0.37,-0.0067408070885999,-0.0177885012821831,-0.0152241416592664,-0.2040393345522998,0.0722806254026004,0.0777577975293987,0.0018082999379077,0.0018505732315874,0.0018525578677747,3.895449361510757,-1.7471839477341022,-1.7471839477341022,4.293411378409248,-0.7321719748593915,-0.8794144177808141,0.0,12.5,-184.0,-0.2862672711788768,11.44021742020425,-186.4120974397049,0.0,12.500000362566114,-184.0000024539906,-19.8543573992948,-35.67537679057623,-28.940051736243248,-0.4379020130000742,-0.6297610519686939,-0.5094492601264727
