Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043516088490626,0.0043516088490626,0.0043516088490626,-0.0056865952695237,-0.0056865952695237,-0.0056865952695237,-0.0051455948107556,-0.0051455948107556,-0.0051455948107556,0.0,0.0,-184.0,0.0,-2.5149094771515618e-18,-184.0016547237477,0.0,-1.4331793517329633e-14,-184.0000024755281,-0.2174888837468515,-0.2174888837468516,-0.2174888837468516,-0.0065616878499379,-0.0065616878499379,-0.0065616878499379
0.04,0.000805533554311,-0.0101438374120611,-0.0101438374120611,-0.2820909180264633,-0.2820909180264634,-0.2820909180264633,0.0045298414435819,0.0027647028243105,0.0027647028243105,0.4142868312709749,-0.2130659134252318,-0.2130659134252318,0.3847742988683277,0.3843019504508167,0.3843019504508167,0.0,1.3888888888888888,-184.0,0.0,0.001052343581533,-185.19524894935032,0.0,1.388888929631816,-184.00000247525816,-2.198911971014562,-20.79816077549573,-20.79816077549573,0.0190894929296985,-0.5420539678109898,-0.5420539678109898
0.08,-0.0064148318274887,-0.0250214029729965,-0.0250125187962406,-0.3873625694544392,-0.2610374044140546,-0.2602446030290114,0.0032397351227696,0.0031607122588736,0.0031606967123054,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.2277529145289088,1.0313700007189073,1.0308126466983536,0.0,2.7777777777777777,-184.0,-0.0010877504057109,0.4431791171641829,-187.39561458613247,0.0,2.777777859178612,-184.00000247445,-13.21321041499982,-36.189858277943465,-36.14118284033413,-0.1672521311487325,-0.7636395064604393,-0.7625530101489909
0.12,-0.0141605930539602,-0.0359304284276135,-0.0358253989157727,-0.3394552840333672,-0.1060552282749947,-0.1015548066819961,0.0028161409506481,0.0031581252770453,0.0031580638357483,1.264637646746067,-0.6174374392463308,-0.6174374392463308,2.095437048526686,1.4469377244894792,1.4406543454263576,0.0,4.166666666666666,-184.0,-0.012374201232214,1.4818446846058664,-189.1515629987057,0.0,4.166666788627427,-184.00000247310643,-24.83992037561321,-46.49017189947613,-46.15984565416943,-0.4365088005397485,-0.8928744701800664,-0.8857894158229588
0.16,-0.0185715504494826,-0.0395270801788473,-0.0391124367312906,-0.2448318015269558,0.0797821598869966,0.0909936616102854,0.0029081611732109,0.0031562385437753,0.0031561675780297,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,2.773014663455136,1.4454224505810729,1.4210116755982458,0.0,5.555555555555555,-184.0,-0.048238584541832,3.0573477188367164,-189.81919298398887,0.0,5.555555717965612,-184.0000024712306,-28.19065127668787,-47.322551113362,-46.31684604900479,-0.4616941816466765,-0.8573467008593261,-0.8366351778358418
0.2,-0.0193590447776593,-0.0367880001483953,-0.0357649413265637,-0.1645201868506772,0.1986114027166554,0.2175586522870831,0.0029273384749716,0.0031557359336276,0.0031557068017278,2.128546368772262,-1.0079325314075522,-1.0079325314075522,3.247205839834055,1.0883023952873672,1.0285895480843543,0.0,6.944444444444445,-184.0,-0.117812157861148,4.986700389246756,-189.4887949826365,0.0,6.944444647180646,-184.00000246882576,-27.912549285469613,-41.61728458916384,-39.512979086745865,-0.4338220347843238,-0.7311482905102699,-0.6892195202647929
0.24,-0.0176475588383251,-0.0312682774339389,-0.0293614639618565,-0.1233586069318965,0.2186264645575463,0.243119394890322,0.0028837492204628,0.0031557055779725,0.0031556897551391,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,3.5837625194854845,0.5809985821594621,0.470337954151132,0.0,8.333333333333332,-184.0,-0.2174573229526393,6.93873065287593,-188.6639714084212,0.0,8.333333576260197,-184.00000246589545,-25.68051248044452,-34.43181806948013,-30.94278011537299,-0.3901408936108019,-0.6086044223960481,-0.5410899852580796
0.28,-0.0148785709809335,-0.0265387627842817,-0.0236165497921608,-0.1165507456078927,0.1652596582809469,0.1907314692745547,0.0028233942445134,0.0031558213208764,0.0031557521835707,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,3.864932598077483,0.1265914281312232,-0.0422930346413378,0.0,9.72222222222222,-184.0,-0.3306244023059207,8.639815860818334,-187.87786385499672,0.0,9.722222505192178,-184.00000246244343,-22.51777688799452,-29.72059647239213,-24.79817600030009,-0.3405156134987996,-0.5492260164645179,-0.4531437379652651
0.33,-0.0136861974099382,-0.023691680917807,-0.0194162925629797,-0.1446074649173928,0.0771725647015974,0.107928505570115,0.0028014367204306,0.0031562557643991,0.0029248796258088,3.448966665596679,-1.5675957892444874,-1.5675957892444874,4.241479103500739,-0.2145049515703884,-0.4612381775026071,0.0,11.11111111111111,-184.0,-0.4819670368963976,10.325543529508009,-187.3927891578788,0.0,11.111111433964693,-184.0000024584738,-21.74780637913588,-27.91913722084988,-22.93109927011598,-0.445711534287669,-0.4930140357343475,-0.3969878780923168
0.37,-0.012137831305402,-0.0248649958364093,-0.0192861615088511,-0.171660670697468,0.0297505406503353,0.0618846465232255,0.0027706761482961,0.0031566148661804,0.0029197678057235,3.895449361510757,-1.7471839477341022,-1.7471839477341022,4.600801271115587,-0.3242026804988496,-0.6456812889532414,0.0,12.5,-184.0,-0.6280856082876376,11.469166963479624,-187.39281163786936,0.0,12.500000362566114,-184.0000024539906,-20.200717949627624,-30.46806970966248,-23.70659115583535,-0.431761714660953,-0.5551170355672603,-0.4273679157486702
0.41,-0.0115813259747197,-0.0270837308383541,-0.0203730750419093,-0.195427954949126,0.0206107467599613,0.0409463585115843,0.0027641627386255,0.0031566941236963,0.0030853177132236,4.3450146033180586,-1.9232848701482803,-1.9232848701482803,5.01983178657722,-0.3727066612727275,-0.7583322116387737,0.0,13.88888888888889,-184.0,-0.7542786719900205,12.610906371811758,-187.58634377103624,0.0,13.88888929098498,-184.00000244899837,-19.85949630897197,-33.58822476941672,-24.03256129977873,-0.4370001406996443,-0.6156734947078456,-0.4435861316302723
0.45,-0.011709356029617,-0.0289607182567315,-0.0217191663467901,-0.2082008215962599,0.0402513053105002,0.045533635101767,0.0027660636437068,0.0031565278116415,0.0031564856393804,4.797607729792015,-2.0958964969277063,-2.0958964969277063,5.480475530098448,-0.4389271364521617,-0.8541066268273271,0.0,15.277777777777777,-184.0,-0.8131528149456602,13.853002300495842,-187.80867274722377,0.0,15.277778219210072,-184.0000024435016,-20.247254339837376,-35.62363536866003,-24.945927400316656,-0.4511736697989599,-0.6496799034663534,-0.4608311680425968
0.49,-0.0120727452149302,-0.029743472801708,-0.0226587934000406,-0.2102995034470497,0.0688555666527576,0.0588866432602833,0.0027709144982429,0.0031563124175577,0.003156383871472,5.253173196945098,-2.2650170345774976,-2.2650170345774976,5.95696840766276,-0.5648373293646737,-0.9701766468400674,0.0,16.666666666666664,-184.0,-0.7946160511201679,15.218944595712298,-187.9467706480506,0.0,16.66666714723052,-184.0000024375053,-20.78337266958532,-36.03489232978243,-25.808378115947622,-0.4646142671005431,-0.6537369908195456,-0.4753757486137503
0.53,-0.0123158465402318,-0.0294328999053606,-0.022810244214498,-0.2058068509877264,0.0897843771977916,0.0790153025573308,0.002774704985909,0.0031561749967967,0.003156243576717,5.711654620339391,-2.4306449530710497,-2.4306449530710497,6.429115825044185,-0.749439209431389,-1.128280849169516,0.0,18.055555555555557,-184.0,-0.7429178588674027,16.68144851960832,-187.95717212283492,0.0,18.055556075035568,-184.0000024310141,-21.0871482680579,-35.22234614032604,-25.573959858746758,-0.4722003164094289,-0.6394559900210528,-0.4693920209200891
0.57,-0.0122856631658197,-0.0285360793883359,-0.0221537068943893,-0.1999438656386381,0.0950445046448783,0.0948325944830538,0.0027738986763327,0.0031561431420304,0.0031561444044852,6.172994818480228,-2.592778983007844,-2.592778983007844,6.88839203657136,-0.9632352655667924,-1.3289244556250153,0.0,19.444444444444443,-184.0,-0.7170224545204222,18.18790947041145,-187.8636046558892,0.0,19.4444450026149,-184.00000242403357,-21.03943238221503,-34.01446638645911,-24.414020401954748,-0.473539519547119,-0.6231025282800051,-0.4489799361234762
