Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034350314713099,0.0034350314713099,0.0034350314713099,5.036570969495911,5.036570969495911,5.036570969495911,5.036837191355509,5.036837191355509,5.036837191355509,0.0,0.0,-200.0,0.0,0.0,-200.0008776143393,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.2299753620150087,-0.2299753620150088,-0.2299753620150088,-0.0069384076681152,-0.0069384076681152,-0.0069384076681152
0.03,-0.0018783792527181,-0.0018783792527181,-0.0018783792527181,-0.1108386054181453,-0.1108386054181453,-0.1108386054181453,0.0034070912572642,0.0034070912572642,0.0034070912572642,5.036570969495911,5.036570969495911,5.036570969495911,5.1506905716035645,5.1506905716035645,5.1506905716035645,0.0,0.0,-200.0,0.0,-7.195945076284711e-15,-200.37542985737915,0.0,-1.4389247772835927e-14,-200.00000245737616,-4.335328907262895,-4.335328907262895,-4.335328907262896,-0.1080018448099346,-0.1080018448099345,-0.1080018448099346
0.06,-0.0060338321195671,-0.0060338321195671,-0.0060338321195671,-0.1529682794313715,-0.1529682794313716,-0.1529682794313715,0.003236465673114,0.003236465673114,0.003236465673114,5.036570969495911,5.036570969495911,5.036570969495911,5.391059034691128,5.391059034691128,5.391059034691128,0.0,0.0,-200.0,0.0,0.0,-201.16801307796192,0.0,-1.4389247772835927e-14,-200.00000245737616,-10.252466487891992,-10.252466487891994,-10.252466487891994,-0.2218791664617286,-0.2218791664617287,-0.2218791664617287
0.09,-0.0103649497617281,-0.0103649497617281,-0.0103649497617281,-0.1257672881271195,-0.1257672881271195,-0.1257672881271195,0.002860445585057,0.002860445585057,0.002860445585057,5.036570969495911,5.036570969495911,5.036570969495911,5.637532194154595,5.637532194154595,5.637532194154595,0.0,0.0,-200.0,0.0,0.0,-201.98327969048896,0.0,-1.4389247772835927e-14,-200.00000245737616,-16.757547005841424,-16.757547005841424,-16.757547005841424,-0.3256881695180753,-0.3256881695180753,-0.3256881695180752
0.13,-0.013386777296827,-0.013386777296827,-0.013386777296827,-0.0231652831765385,-0.0231652831765386,-0.0231652831765385,0.0026162379511617,0.0026162379511617,0.0026162379511617,5.036570969495911,5.036570969495911,5.036570969495911,5.804752691422093,5.804752691422093,5.804752691422093,0.0,0.0,-200.0,0.0,-7.20409730004503e-15,-202.53786126142816,0.0,-1.4389247772835927e-14,-200.00000245737616,-20.42306735088477,-20.42306735088477,-20.42306735088477,-0.3586920617303964,-0.3586920617303966,-0.3586920617303964
0.16,-0.0129918410495913,-0.0129918410495913,-0.0129918410495913,0.0416148789739478,0.0416148789739476,0.0416148789739477,0.0026422249043497,0.0026422249043497,0.0026422249043497,5.036570969495911,5.036570969495911,5.036570969495911,5.778478216766308,5.778478216766308,5.778478216766308,0.0,0.0,-200.0,0.0,0.0,-202.45064490846727,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.222149613012387,-18.2221496130124,-18.222149613012395,-0.3038229331102607,-0.3038229331102612,-0.303822933110261
0.19,-0.0112661072702044,-0.0112661072702044,-0.0112661072702044,0.0654004815761876,0.0654004815761875,0.0654004815761875,0.0027782439195959,0.0027782439195959,0.0027782439195959,5.036570969495911,5.036570969495911,5.036570969495911,5.67832018559174,5.67832018559174,5.67832018559174,0.0,0.0,-200.0,0.0,-1.4404888598650995e-14,-202.1184432210448,0.0,-1.4389247772835927e-14,-200.00000245737616,-14.439204169747049,-14.439204169747052,-14.439204169747049,-0.2347688727568887,-0.2347688727568889,-0.2347688727568887
0.22,0.2216661039357333,0.2216661039357333,0.2216661039357333,-1.4195266670174491,-1.4195266670174491,-1.4195266670174491,0.0018215690943723,0.0018215690943723,0.0018215690943723,19.181950665421784,19.181950665421784,19.181950665421784,6.566727800778108,6.566727800778109,6.566727800778109,0.0,0.0,-250.0,0.0,-2.8898793644879283e-15,-205.07967686008692,0.0,0.0,-250.00000223057023,425.3261764535689,425.3261764535689,425.3261764535689,3.111903921594079,3.111903921594079,3.111903921594079
0.25,0.1487177911772138,0.1487177911772137,0.1487177911772138,-3.3191903912664293,-3.31919039126643,-3.3191903912664285,0.0018206436255729,0.0018206436255729,0.0018206436255729,19.181950665421784,19.181950665421784,19.181950665421784,10.85450158343329,10.854501583433294,10.854501583433292,0.0,0.0,-250.0,-5.428831760184714e-15,-9.403012434383504e-15,-219.80352966702128,0.0,0.0,-250.00000223057023,215.2235080584983,215.2235080584981,215.22350805849825,2.553179296792356,2.553179296792356,2.553179296792357
0.28,0.036691313858513,0.0366913138585129,0.036691313858513,-3.68809165321224,-3.688091653212239,-3.68809165321224,0.0018435483675309,0.0018435483675309,0.0018435483675309,19.181950665421784,19.181950665421784,19.181950665421784,17.289315948200876,17.28931594820088,17.289315948200876,0.0,0.0,-250.0,-5.848680830948889e-15,-1.8411011882003443e-14,-242.9965423053176,0.0,0.0,-250.00000223057023,-34.575578604995286,-34.575578604995435,-34.57557860499529,-1.672126648729867,-1.672126648729869,-1.672126648729867
0.31,-0.0527132191778715,-0.0527132191778716,-0.0527132191778716,-2.123135517586004,-2.123135517586001,-2.1231355175860016,0.0018782901720272,0.0018782901720272,0.0018782901720272,19.181950665421784,19.181950665421784,19.181950665421784,22.3200398888745,22.3200398888745,22.3200398888745,0.0,0.0,-250.0,0.0,-7.767734655340011e-15,-261.72568198694427,0.0,0.0,-250.00000223057023,-173.85384794603655,-173.85384794603647,-173.8538479460365,-3.499273972096937,-3.499273972096934,-3.499273972096934
0.35,-0.0837842282807613,-0.0837842282807612,-0.0837842282807613,0.3890166870590969,0.3890166870590968,0.3890166870590971,0.0018817701082143,0.0018817701082143,0.0018817701082143,19.181950665421784,19.181950665421784,19.181950665421784,23.95737963187731,23.957379631877306,23.957379631877306,0.0,0.0,-250.0,7.445085534109732e-15,4.298422137258044e-15,-267.8792329256687,0.0,0.0,-250.00000223057023,-163.06321955014153,-163.06321955014127,-163.06321955014144,-2.6145266516065555,-2.6145266516065515,-2.614526651606554
0.38,-0.0551067006412185,-0.0551067006412184,-0.0551067006412184,1.2814105803762394,1.2814105803762368,1.281410580376238,0.002232824344612,0.002232824344612,0.002232824344612,19.181950665421784,19.181950665421784,19.181950665421784,22.26545159591102,22.265451595911017,22.26545159591102,0.0,0.0,-250.0,7.0143616755622026e-15,4.049743601579231e-15,-261.52082989367767,0.0,0.0,-250.00000223057023,-63.8120705709077,-63.81207057090727,-63.81207057090749,-0.6447385319638391,-0.6447385319638287,-0.6447385319638352
0.41,-0.0169983550151347,-0.0169983550151348,-0.0169983550151347,1.1592341133321098,1.159234113332107,1.1592341133321078,0.002472645572627,0.002472645572627,0.002472645572627,19.181950665421784,19.181950665421784,19.181950665421784,20.09019881125112,20.090198811251124,20.09019881125112,0.0,0.0,-250.0,-1.9664452471629837e-14,-1.1353276927962084e-14,-253.38139438447377,0.0,0.0,-250.00000223057023,0.3175392646734506,0.3175392646732428,0.3175392646733905,0.3763748574103751,0.3763748574103704,0.3763748574103733
0.44,0.0106233753508349,0.0106233753508347,0.0106233753508347,0.6706442748666307,0.6706442748666299,0.6706442748666298,0.002956187530856,0.002956187530856,0.002956187530856,19.181950665421784,19.181950665421784,19.181950665421784,18.53595418033273,18.535954180332745,18.53595418033274,0.0,0.0,-250.0,-6.3425300006089305e-15,-2.5633029822363904e-14,-247.60258592238637,0.0,0.0,-250.00000223057023,27.51541506712212,27.515415067121683,27.515415067121804,0.6915295288901783,0.6915295288901712,0.691529528890173
0.47,0.021588050041731,0.0215880500417308,0.0215880500417309,0.0953897921502958,0.0953897921502967,0.0953897921502961,0.0029279302966423,0.0029279302966422,0.0029279302966423,19.181950665421784,19.181950665421784,19.181950665421784,17.94053503332089,17.940535033320902,17.9405350333209,0.0,0.0,-250.0,-1.2257060383558738e-14,-1.4309458592761833e-14,-245.39909870016743,0.0,0.0,-250.00000223057023,30.53501675752892,30.53501675752889,30.53501675752888,0.5638315550338303,0.5638315550338303,0.5638315550338295
0.5,0.0176257987938265,0.0176257987938264,0.0176257987938264,-0.3141693065995548,-0.3141693065995533,-0.314169306599554,0.0026477379558495,0.0026477379558495,0.0026477379558495,19.181950665421784,19.181950665421784,19.181950665421784,18.19064798952469,18.190647989524702,18.1906479895247,0.0,0.0,-250.0,0.0,-1.4256023287599422e-14,-246.32393925067777,0.0,0.0,-250.00000223057023,18.74846399797216,18.74846399797197,18.748463997972028,0.2454976625246918,0.2454976625246886,0.2454976625246895
0.53,0.0049040468981834,0.0049040468981832,0.0049040468981833,-0.4832220766100184,-0.4832220766100152,-0.4832220766100165,0.0033644651860488,0.0033644651860488,0.0033644651860488,19.181950665421784,19.181950665421784,19.181950665421784,18.92873935162114,18.92873935162115,18.928739351621147,0.0,0.0,-250.0,-2.593737075056285e-14,-3.733447730867944e-14,-249.05948696607996,0.0,0.0,-250.00000223057023,-3.461081122913966,-3.461081122914132,-3.4610811229140834,-0.1789759918412597,-0.1789759918412617,-0.1789759918412613
0.56,-0.0093762908266003,-0.0093762908266004,-0.0093762908266004,-0.4405182671370852,-0.4405182671370821,-0.4405182671370833,0.0029539705720003,0.0029539705720003,0.0029539705720003,19.181950665421784,19.181950665421784,19.181950665421784,19.744144459833944,19.744144459833947,19.744144459833947,0.0,0.0,-250.0,0.0,-1.5143014132295356e-14,-252.09165614683783,0.0,0.0,-250.00000223057023,-21.69078371465029,-21.69078371465035,-21.690783714650376,-0.4792630752017935,-0.4792630752017937,-0.4792630752017941
0.6,-0.0214372796975088,-0.0214372796975088,-0.0214372796975088,-0.1523195319399096,-0.1523195319399073,-0.152319531939908,0.0026889192833791,0.0026889192833791,0.0026889192833791,19.181950665421784,19.181950665421784,19.181950665421784,20.41851947018521,20.41851947018521,20.41851947018521,0.0,0.0,-250.0,0.0,0.0,-254.6065064359136,0.0,0.0,-250.00000223057023,-34.82934675399511,-34.82934675399506,-34.829346753995075,-0.6131258654246469,-0.6131258654246456,-0.6131258654246459
0.63,-0.022896965525223,-0.0228969655252229,-0.022896965525223,0.0375331606942626,0.0375331606942641,0.0375331606942637,0.0028017351413322,0.0028017351413322,0.0028017351413322,19.181950665421784,19.181950665421784,19.181950665421784,20.491402969172235,20.49140296917223,20.491402969172235,0.0,0.0,-250.0,6.582180764155937e-15,3.800223836040207e-15,-254.878652638837,0.0,0.0,-250.00000223057023,-31.442688935693297,-31.442688935693223,-31.44268893569327,-0.504352138983121,-0.5043521389831196,-0.5043521389831204
0.66,-0.019701707550318,-0.0197017075503179,-0.019701707550318,0.1596548282178032,0.1596548282178038,0.1596548282178039,0.0025809368246147,0.0025809368246146,0.0025809368246147,19.181950665421784,19.181950665421784,19.181950665421784,20.30146785862914,20.301467858629135,20.30146785862914,0.0,0.0,-250.0,6.537038585880235e-15,3.774160987260925e-15,-254.1695758344009,0.0,0.0,-250.00000223057023,-26.48100125048468,-26.481001250484617,-26.481001250484667,-0.3874729789770064,-0.3874729789770054,-0.387472978977006
