Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043516088490626,0.0043516088490626,0.0043516088490626,5.036570969495911,5.036570969495911,5.036570969495911,5.036837191355509,5.036837191355509,5.036837191355509,0.0,0.0,-200.0,0.0,0.0,-200.0008776143393,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.2299753620150087,-0.2299753620150088,-0.2299753620150088,-0.0069384076681152,-0.0069384076681152,-0.0069384076681152
0.03,-0.0019115713426269,-0.0019115713426269,-0.0019115713426269,-0.1141170681590969,-0.114117068159097,-0.114117068159097,0.0042871358453305,0.0042871358453305,0.0042871358453305,5.036570969495911,5.036570969495911,5.036570969495911,5.152793066695965,5.152793066695965,5.152793066695965,0.0,0.0,-200.0,0.0,-7.195969698933695e-15,-200.3823518358374,0.0,-1.4389247772835927e-14,-200.00000245737616,-3.6590918197275055,-3.6590918197275055,-3.659091819727507,-0.0972056595860526,-0.0972056595860526,-0.0972056595860526
0.06,-0.0062522824445575,-0.0062522824445575,-0.0062522824445575,-0.1597234412343546,-0.1597234412343546,-0.1597234412343547,0.0031985029129527,0.0031985029129527,0.0031985029129527,5.036570969495911,5.036570969495911,5.036570969495911,5.403948497675629,5.403948497675629,5.40394849767563,0.0,0.0,-200.0,2.4500938711243158e-15,-1.5812531125672998e-14,-201.21058404192453,0.0,-1.4389247772835927e-14,-200.00000245737616,-10.754538476523605,-10.754538476523608,-10.754538476523608,-0.2335216972014843,-0.2335216972014843,-0.2335216972014843
0.09,-0.0105911253167284,-0.0105911253167284,-0.0105911253167285,-0.1199649189375887,-0.1199649189375888,-0.1199649189375886,0.0027547829435703,0.0027547829435703,0.0027547829435703,5.036570969495911,5.036570969495911,5.036570969495911,5.650145436722733,5.650145436722733,5.650145436722734,0.0,0.0,-200.0,0.0,-7.202080982685866e-15,-202.0250700461427,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.56543172836426,-17.565431728364263,-17.565431728364274,-0.3368027122396915,-0.3368027122396916,-0.3368027122396916
0.13,-0.0134469113513273,-0.0134469113513273,-0.0134469113513273,-0.0249212670256532,-0.0249212670256531,-0.024921267025653,0.0027936197699569,0.0027936197699569,0.0027936197699569,5.036570969495911,5.036570969495911,5.036570969495911,5.808321567921141,5.8083215679211415,5.808321567921141,0.0,0.0,-200.0,-2.4681679689074466e-15,-8.629141939009402e-15,-202.549710142356,0.0,-1.4389247772835927e-14,-200.00000245737616,-19.2665340201226,-19.266534020122634,-19.2665340201226,-0.3395395017087539,-0.3395395017087544,-0.3395395017087538
0.16,-0.0132564806814764,-0.0132564806814764,-0.0132564806814764,0.0316969048212623,0.0316969048212625,0.0316969048212624,0.0027883020047566,0.0027883020047566,0.0027883020047566,5.036570969495911,5.036570969495911,5.036570969495911,5.794212921479879,5.79421292147988,5.794212921479879,0.0,0.0,-200.0,-2.4675333690554198e-15,-8.628589140821094e-15,-202.5028717223878,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.84584861531858,-17.845848615318616,-17.845848615318577,-0.300745198991824,-0.3007451989918245,-0.3007451989918238
0.19,-0.0117866638185708,-0.0117866638185709,-0.0117866638185708,0.0603000234131562,0.0603000234131564,0.0603000234131562,0.0027602095764403,0.0027602095764403,0.0027602095764403,5.036570969495911,5.036570969495911,5.036570969495911,5.708417267672244,5.708417267672245,5.708417267672244,0.0,0.0,-200.0,-2.4636805503808456e-15,-8.625241064237365e-15,-202.2182241092279,0.0,-1.4389247772835927e-14,-200.00000245737616,-15.368050444435438,-15.368050444435454,-15.368050444435442,-0.2523221575499089,-0.2523221575499089,-0.252322157549909
0.22,0.2210956993312144,0.2210956993312143,0.2210956993312144,-1.4204530330119414,-1.420453033011941,-1.4204530330119411,0.0022254768156038,0.0022254768156038,0.0022254768156038,19.181950665421784,19.181950665421784,19.181950665421784,6.599462180806274,6.599462180806275,6.599462180806274,0.0,0.0,-250.0,0.0,0.0,-205.18940856855295,0.0,0.0,-250.00000223057023,346.10874228888986,346.10874228888974,346.1087422888898,3.1116314610074483,3.1116314610074483,3.1116314610074483
0.25,0.1481792172364401,0.1481792172364401,0.1481792172364401,-3.293328754064244,-3.2933287540642424,-3.293328754064244,0.0022254768156038,0.0022254768156038,0.0022254768156038,19.181950665421784,19.181950665421784,19.181950665421784,10.88316989776947,10.88316989776947,10.883169897769472,0.0,0.0,-250.0,5.431858059040071e-15,-1.7739492872782527e-14,-219.90419705187657,0.0,0.0,-250.00000223057023,173.42490998587786,173.42490998587786,173.42490998587778,1.9541201424020656,1.9541201424020644,1.954120142402064
0.28,0.0399039202449985,0.0399039202449985,0.0399039202449984,-3.5664104274466912,-3.566410427446691,-3.566410427446692,0.0022254768156038,0.0022254768156038,0.0022254768156038,19.181950665421784,19.181950665421784,19.181950665421784,17.098573821549962,17.098573821549962,17.098573821549966,0.0,0.0,-250.0,6.154930026629549e-15,-3.553550507717881e-15,-242.2943916666032,0.0,0.0,-250.00000223057023,-22.367552405813395,-22.367552405813388,-22.36755240581352,-1.4181548633607863,-1.4181548633607857,-1.4181548633607883
0.31,-0.0513726029667967,-0.0513726029667967,-0.0513726029667968,-2.448045815965029,-2.4480458159650285,-2.448045815965029,0.003178334689968,0.003178334689968,0.003178334689968,19.181950665421784,19.181950665421784,19.181950665421784,22.26294474631527,22.26294474631527,22.262944746315277,0.0,0.0,-250.0,0.0,0.0,-261.5114230740188,0.0,0.0,-250.00000223057023,-110.86912780163854,-110.86912780163854,-110.86912780163875,-2.558046129360954,-2.558046129360954,-2.558046129360957
0.35,-0.1085684269286988,-0.1085684269286988,-0.1085684269286988,-0.464892336565597,-0.4648923365655961,-0.4648923365655958,0.0031654834261608,0.0031654834261608,0.0031654834261608,19.181950665421784,19.181950665421784,19.181950665421784,25.426430883663024,25.426430883663024,25.426430883663024,0.0,0.0,-250.0,0.0,-7.963588154184512e-15,-273.4095163906332,0.0,0.0,-250.00000223057023,-143.64623155014925,-143.64623155014922,-143.64623155014925,-2.531997017116795,-2.531997017116794,-2.531997017116794
0.38,-0.1030521123302088,-0.1030521123302088,-0.1030521123302088,0.7081160683509914,0.7081160683509922,0.7081160683509926,0.00315981918397,0.00315981918397,0.00315981918397,19.181950665421784,19.181950665421784,19.181950665421784,25.044138726363247,25.044138726363247,25.044138726363247,0.0,0.0,-250.0,0.0,-7.937638972107779e-15,-271.9699906907614,0.0,0.0,-250.00000223057023,-114.28706531616126,-114.28706531616125,-114.2870653161612,-1.6963712318075226,-1.696371231807522,-1.6963712318075204
0.41,-0.0712358346189211,-0.0712358346189211,-0.0712358346189211,1.2888315152448568,1.2888315152448575,1.2888315152448575,0.0031633849143932,0.0031633849143932,0.0031633849143932,19.181950665421784,19.181950665421784,19.181950665421784,23.1891227850348,23.1891227850348,23.1891227850348,0.0,0.0,-250.0,0.0,0.0,-264.9899680124672,0.0,0.0,-250.00000223057023,-63.47882115684203,-63.478821156842,-63.478821156842,-0.6748889504102292,-0.6748889504102279,-0.6748889504102277
