Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.036837191355509,5.036837191355509,5.036837191355509,0.0,0.0,-200.0,0.0,0.0,-200.0008776143393,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.2299753620150087,-0.2299753620150088,-0.2299753620150088,-0.0069384076681152,-0.0069384076681152,-0.0069384076681152
0.03,-0.0018905953043242,-0.0019450475832075,-0.0018996115188688,-0.1120756088030791,-0.1175355261044971,-0.1129757618955816,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.151466779577805,5.154922647953192,5.152038725883693,0.0,0.0,-200.0,-0.0060070347086543,-0.0048437890813322,-200.3824054022691,0.0,-1.4389247772835927e-14,-200.00000245737616,-4.118976659594746,-2.762590206172203,-3.8986645679137895,-0.1045514839311593,-0.0823515835762804,-0.1009532202101875
0.06,-0.0061510356759189,-0.0066235501733272,-0.0062280371842453,-0.1596327890936188,-0.1834849000660446,-0.1634772710444222,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.39817452379642,5.426660523819377,5.402813923053247,0.0,0.0,-200.0,-0.0498757086829744,-0.0400000847189787,-201.22797376840097,0.0,-1.4389247772835927e-14,-200.00000245737616,-9.387835947931697,-6.414687070587792,-8.932577085607075,-0.2085928025444636,-0.1641597765997641,-0.2018574336256376
0.09,-0.0109044524094545,-0.0125008778175488,-0.0111596846664224,-0.1493922117973999,-0.2002541318292414,-0.1573531992049455,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.669845244034277,5.764281601385599,5.684932999121097,0.0,0.0,-200.0,-0.1667534761168622,-0.1328853340526591,-202.21126103232945,0.0,-1.4389247772835927e-14,-200.00000245737616,-14.164980227353754,-10.31069658031941,-13.637715830873514,-0.2875591965024038,-0.2360188336280531,-0.2808224379252655
0.13,-0.0156113218232143,-0.0199490155092394,-0.0162837499012002,-0.0812871649940165,-0.1641508109140445,-0.0935709371653684,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.935573009933593,6.188884034597037,5.974807633878223,0.0,0.0,-200.0,-0.4522654218264991,-0.356809115195531,-203.29615578442883,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.843257451087325,-14.716832460506463,-17.579188530178804,-0.331770569973919,-0.3019038367788498,-0.3307964174435236
0.16,-0.0170901564816652,-0.0240904255729449,-0.0181458195647537,-0.0200791260205349,-0.111547519826324,-0.0328465378330933,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,6.016805816920525,6.423131146031201,6.078020397990949,0.0,0.0,-200.0,-0.7307529134789893,-0.5715248575750118,-203.75986540537883,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.249298589666807,-16.891477039651313,-18.37860103374863,-0.3224296991987848,-0.3250580299928182,-0.3282945697868877
0.19,-0.0168849591525787,-0.026524951502647,-0.0182932773941219,0.029031564319272,-0.0527357116803864,0.0186628009699394,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,6.002270492968421,6.559250035249958,6.083548136044221,0.0,0.0,-200.0,-1.007994435663767,-0.780748618022802,-203.8992289626253,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.097110392962072,-17.93153651184265,-17.647511327908315,-0.2904046533863227,-0.3273834505045784,-0.3027382192997575
0.22,0.2155507763453275,0.2084245736388779,0.2139899799509659,-1.4143380000708907,-1.0073901704387611,-1.393700649945273,0.003727,0.006,0.00398,19.181950665421784,19.181950665421784,19.181950665421784,6.916607082740256,7.300180452950912,7.004577621166304,0.0,0.0,-250.0,-0.6350074487247929,-0.5847567434339116,-206.7823819955541,0.0,0.0,-250.00000223057023,203.39431736410572,114.57672499639074,187.28857435957977,3.013474389253562,1.6393127231053586,2.748388617152881
0.25,0.1485755617949902,0.1620363117943498,0.1493417899396326,-2.800955700730648,-1.9539609625180148,-2.687036075593237,0.003727,0.006,0.00398,19.181950665421784,19.181950665421784,19.181950665421784,10.831130190214653,10.011126900743484,10.780626013952473,0.0,0.0,-250.0,1.745288469920616,1.1400735107255149,-218.6934291564623,0.0,0.0,-250.00000223057023,108.97434839484764,78.25118775591989,102.9368634136368,1.021726827518774,0.7581869060524536,0.9544171881112012
0.28,0.0583826626780161,0.0963656770945872,0.0627134240272376,-3.02900519365649,-2.32043239933605,-2.9194268927910945,0.003727,0.006,0.00398,19.181950665421784,19.181950665421784,19.181950665421784,16.0098744569245,13.793730963091834,15.755548627981945,0.0,0.0,-250.0,4.774058145743456,3.4746042296165154,-235.21442868521407,0.0,0.0,-250.00000223057023,7.514825309225547,37.43423815495169,12.929028503334772,-0.7527589934907268,-0.0323149219938881,-0.627664871401465
