Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004351608849062665,0.004351608849062665,0.004351608849062665,5.036570969495911,5.036570969495911,5.036570969495911,5.037133978980035,5.037133978980035,5.037133978980035,0.0,0.0,-200.0,0.0,-7.194630330868157e-15,-200.0018532544117,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,-0.0005239019410182705,-0.0005239019410182705,-0.0005239019410182705,-0.09363846825397454,-0.09363846825397457,-0.09363846825397455,0.004410447538544956,0.004410447538544956,0.004410447538544956,5.036570969495911,5.036570969495911,5.036570969495911,5.072454894901255,5.072454894901255,5.072454894901255,0.0,0.0,-200.0,0.0,0.0,-200.11799199371663,0.0,-1.4389247772835927e-14,-200.00000245737616,-2.0649866866040765,-2.064986686604077,-2.064986686604077,-0.0648302108392119,-0.0648302108392119,-0.0648302108392119
0.02,-0.001921877465377142,-0.001921877465377142,-0.001921877465377142,-0.17571683013341824,-0.17571683013341835,-0.1757168301334183,0.004328004062572175,0.004328004062572176,0.004328004062572176,5.036570969495911,5.036570969495911,5.036570969495911,5.157184535880125,5.157184535880125,5.157184535880125,0.0,0.0,-200.0,0.0,-7.19602116098724e-15,-200.39681034362218,0.0,-1.4389247772835927e-14,-200.00000245737616,-4.559894724062782,-4.559894724062785,-4.559894724062784,-0.13193652227804298,-0.13193652227804306,-0.13193652227804303
0.03,-0.004068421173387099,-0.004068421173387099,-0.004068421173387099,-0.24422956516352162,-0.2442295651635218,-0.24422956516352173,0.0038831794926539017,0.0038831794926539043,0.0038831794926539043,5.036570969495911,5.036570969495911,5.036570969495911,5.2840088106263305,5.2840088106263305,5.2840088106263305,0.0,0.0,-200.0,0.0,-7.197526557551476e-15,-200.81472413581355,0.0,-1.4389247772835927e-14,-200.00000245737616,-8.213979692555046,-8.213979692555045,-8.213979692555043,-0.21608230648796775,-0.21608230648796772,-0.2160823064879676
0.04,-0.006804177666688255,-0.006804177666688255,-0.006804177666688255,-0.29425377994254287,-0.2942537799425431,-0.29425377994254315,0.003111349292346326,0.003111349292346326,0.003111349292346326,5.036570969495911,5.036570969495911,5.036570969495911,5.443493665912008,5.443493665912008,5.443493665912008,0.0,0.0,-200.0,0.0,0.0,-201.34123684053063,0.0,-1.4389247772835927e-14,-200.00000245737616,-14.308316224633364,-14.308316224633366,-14.308316224633366,-0.3376777497955531,-0.33767774979555315,-0.3376777497955531
0.05,-0.009912136464610366,-0.009912136464610366,-0.009912136464610366,-0.3210492125355768,-0.3210492125355771,-0.3210492125355771,0.0027707239902583017,0.0027707239902583017,0.0027707239902583017,5.036570969495911,5.036570969495911,5.036570969495911,5.6229796036334445,5.6229796036334445,5.6229796036334445,0.0,0.0,-200.0,0.0,-1.4403464832656767e-14,-201.93507220628774,0.0,-1.4389247772835927e-14,-200.00000245737616,-20.785108962194904,-20.78510896219491,-20.785108962194908,-0.4536100868424935,-0.45361008684249376,-0.4536100868424935
0.06,-0.013183939383008228,-0.013183939383008256,-0.013183939383008256,-0.33002364874088597,-0.33002364874088613,-0.33002364874088624,0.0027976985327114266,0.002797698532711425,0.002797698532711425,5.036570969495911,5.036570969495911,5.036570969495911,5.810872420011389,5.810872420011391,5.810872420011391,0.0,0.0,-200.0,0.0,-1.2904433058303295e-14,-202.55817944955794,0.0,-1.4389247772835927e-14,-200.00000245737616,-25.291917849710693,-25.291917849710764,-25.29191784971077,-0.5317753571675212,-0.5317753571675233,-0.5317753571675237
0.07,-0.016472126489454106,-0.016472126489454147,-0.016472126489454147,-0.326096530375534,-0.32609653037553404,-0.32609653037553415,0.002865997469674868,0.002865997469674867,0.002865997469674867,5.036570969495911,5.036570969495911,5.036570969495911,5.998980601170753,5.998980601170755,5.998980601170756,0.0,0.0,-200.0,2.4767721374804984e-15,-7.14982530147865e-15,-203.18348452400537,0.0,-1.4389247772835927e-14,-200.00000245737616,-29.066065773744096,-29.066065773744178,-29.066065773744175,-0.5951830765701771,-0.5951830765701789,-0.5951830765701789
0.08,-0.019661443010715207,-0.01966144301071525,-0.019661443010715263,-0.3116820220285011,-0.31168202202850104,-0.3116820220285011,0.002951333113920057,0.0029513331139200613,0.0029513331139200656,5.036570969495911,5.036570969495911,5.036570969495911,6.18084067162866,6.180840671628663,6.180840671628664,0.0,0.0,-200.0,2.4850286751763825e-15,3.557370632506511e-17,-203.78942169435538,0.0,-1.4389247772835927e-14,-200.00000245737616,-32.14608351270031,-32.14608351270032,-32.14608351270029,-0.6420320218120156,-0.6420320218120161,-0.642032021812014
0.09,-0.02268358404569032,-0.02268358404569036,-0.022683584045690375,-0.2937888158012532,-0.29378881580125327,-0.29378881580125316,0.0031613750912191574,0.0031613750912191574,0.0031613750912191574,5.036570969495911,5.036570969495911,5.036570969495911,6.35295112143048,6.352951121430482,6.352951121430483,0.0,0.0,-200.0,2.4928872208225408e-15,-1.440803933665728e-14,-204.3641352712082,0.0,-1.4389247772835927e-14,-200.00000245737616,-33.45346025842363,-33.453460258423675,-33.4534602584237,-0.6623015950473333,-0.6623015950473341,-0.6623015950473344
