Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004314471731743383,0.004314471731743383,0.004314471731743383,5.036570969495911,5.036570969495911,5.036570969495911,5.0368371913555094,5.0368371913555094,5.0368371913555094,0.0,0.0,-200.0,0.0,0.0,-200.00087761433926,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,-0.0002482010142493968,-0.0002482010142493968,-0.0002482010142493968,-0.04428886659483838,-0.0442888665948384,-0.04428886659483839,0.004341806496051751,0.004341806496051752,0.004341806496051752,5.036570969495911,5.036570969495911,5.036570969495911,5.053564632006156,5.053564632006156,5.053564632006156,0.0,0.0,-200.0,0.0,-1.4389637449559538e-14,-200.0558722192761,0.0,-1.4389247772835927e-14,-200.00000245737616,-1.1092662366472894,-1.1092662366472896,-1.1092662366472896,-0.032927675379748216,-0.03292767537974822,-0.03292767537974822
0.02,-0.0009064788540997654,-0.0009064788540997654,-0.0009064788540997654,-0.08248827425254376,-0.0824882742525438,-0.08248827425254378,0.004339064736542489,0.004339064736542489,0.004339064736542489,5.036570969495911,5.036570969495911,5.036570969495911,5.09343294000879,5.09343294000879,5.09343294000879,0.0,0.0,-200.0,0.0,0.0,-200.1869953396667,0.0,-1.4389247772835927e-14,-200.00000245737616,-2.261820629856315,-2.261820629856316,-2.261820629856316,-0.0639032036908395,-0.06390320369083954,-0.06390320369083954
0.03,-0.0019104738799149285,-0.0019104738799149285,-0.0019104738799149285,-0.11401290331363773,-0.1140129033136378,-0.11401290331363774,0.004257647421753974,0.004257647421753974,0.004257647421753974,5.036570969495911,5.036570969495911,5.036570969495911,5.152723890582232,5.152723890582232,5.152723890582232,0.0,0.0,-200.0,0.0,0.0,-200.38212408647578,0.0,-1.4389247772835927e-14,-200.00000245737616,-3.6772393933626857,-3.6772393933626883,-3.6772393933626866,-0.09748038062512442,-0.09748038062512447,-0.0974803806251244
0.04,-0.003190307837462686,-0.003190307837462686,-0.003190307837462686,-0.13826945109464267,-0.13826945109464278,-0.1382694510946427,0.004066089359500616,0.004066089359500616,0.004066089359500616,5.036570969495911,5.036570969495911,5.036570969495911,5.227398789938515,5.227398789938515,5.227398789938515,0.0,0.0,-200.0,0.0,7.196850015863016e-15,-200.62809661384443,0.0,-1.4389247772835927e-14,-200.00000245737616,-5.408385508381636,-5.408385508381639,-5.408385508381637,-0.1344724777280992,-0.13447247772809925,-0.13447247772809923
0.05,-0.004668859676855042,-0.004668859676855042,-0.004668859676855042,-0.15436523685895354,-0.15436523685895365,-0.1543652368589536,0.003694116791185622,0.003694116791185622,0.003694116791185622,5.036570969495911,5.036570969495911,5.036570969495911,5.312982303762066,5.312982303762066,5.312982303762066,0.0,0.0,-200.0,0.0,-7.197875678363812e-15,-200.91029468965976,0.0,-1.4389247772835927e-14,-200.00000245737616,-7.686190353275493,-7.686190353275496,-7.686190353275498,-0.17946830594109459,-0.17946830594109467,-0.17946830594109467
0.06,-0.006242118365688193,-0.006242118365688193,-0.006242118365688193,-0.15720337149208582,-0.15720337149208594,-0.15720337149208588,0.0028556961305219843,0.0028556961305219834,0.0028556961305219843,5.036570969495911,5.036570969495911,5.036570969495911,5.403201969974568,5.403201969974568,5.403201969974568,0.0,0.0,-200.0,0.0,-7.198975208280575e-15,-201.208118237856,0.0,-1.4389247772835927e-14,-200.00000245737616,-11.878413383658957,-11.878413383658966,-11.878413383658957,-0.25010427629893783,-0.2501042762989381,-0.2501042762989378
0.07,-0.007792088897497523,-0.007792088897497523,-0.007792088897497523,-0.1528893155584684,-0.15288931555846846,-0.1528893155584684,0.0031214609433854405,0.0031214609433854405,0.0031214609433854405,5.036570969495911,5.036570969495911,5.036570969495911,5.491743653483616,5.491743653483616,5.491743653483616,0.0,0.0,-200.0,0.0,0.0,-201.50073938409608,0.0,-1.4389247772835927e-14,-200.00000245737616,-12.765491865810864,-12.765491865810864,-12.765491865810862,-0.2653246896729207,-0.2653246896729207,-0.26532468967292067
0.08,-0.009266809661011441,-0.009266809661011441,-0.009266809661011441,-0.14174421782891225,-0.1417442178289123,-0.14174421782891228,0.002910495865668555,0.002910495865668555,0.002910495865668555,5.036570969495911,5.036570969495911,5.036570969495911,5.575551521543706,5.575551521543706,5.575551521543706,0.0,0.0,-200.0,0.0,-7.201127957805846e-15,-201.77802217115632,0.0,-1.4389247772835927e-14,-200.00000245737616,-15.35453112137697,-15.354531121376974,-15.354531121376976,-0.3064832285962959,-0.30648322859629595,-0.30648322859629606
0.09,-0.010586536960840845,-0.010586536960840845,-0.010586536960840845,-0.12301201329877151,-0.12301201329877161,-0.12301201329877155,0.0027786817558281716,0.0027786817558281716,0.0027786817558281716,5.036570969495911,5.036570969495911,5.036570969495911,5.650056892800346,5.650056892800346,5.650056892800346,0.0,0.0,-200.0,0.0,-7.202079843798761e-15,-202.02477665789485,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.47836361476356,-17.478363614763566,-17.478363614763563,-0.3369982905934714,-0.3369982905934716,-0.33699829059347153
