Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.0368371913555094,5.0368371913555094,5.0368371913555094,0.0,0.0,-200.0,0.0,0.0,-200.00087761433926,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,0.0034032140564896757,-0.006247654892993143,0.002150951959029479,-0.05075353611818383,-0.03776396378365573,-0.04827673916368083,0.003727,0.006,0.00398,5.247219307379915,4.691376566060815,5.174918573302326,5.055447520227748,5.051664226290878,5.0547256241170135,1.0052038177334992,0.7539623930011564,-200.0,0.0063666039995515,0.005409297372962195,-200.0571253049718,1.00520384499234,0.7539624134381809,-200.00000245717365,2.8330065329506864,-5.291842165303668,1.288730524589572,0.03693725412261778,-0.10714850859486157,0.00956936027852007
0.02,0.006311022938234975,-0.012728602082351964,0.003854550286283495,-0.10680591785572059,-0.057932371805240634,-0.09753541786511959,0.003727,0.006,0.00398,5.460378536878441,4.3488394023997134,5.315706477052744,5.105235430905241,5.081516859855916,5.100726955338461,2.009772727190782,1.5078057266002487,-200.0,0.03997670497854279,0.033914403586606294,-200.1948621897071,2.009772781722902,1.5078057674773382,-200.00000245656594,5.259476023271459,-10.241067563586235,2.3441144046534323,0.0612050712174041,-0.19697476681561035,0.012710266401655896
0.03,0.008683623679661773,-0.019271055145244784,0.005107966196158262,-0.1657477585298636,-0.06185335982949798,-0.14615346772688198,0.003727,0.006,0.00398,5.676003052889652,4.009146307840278,5.458790323058808,5.188306761877216,5.11681493400302,5.174772856389699,3.0130722211173087,2.2614109601960726,-200.0,0.12073454610746256,0.10226200774278862,-200.4058987744776,3.0130723029135775,2.2614110215083136,-200.00000245555296,7.043832359788776,-14.97701297542429,2.9578477845656495,0.07384626378095645,-0.2785689294498328,0.008619616088754407
0.04,0.010503044933599368,-0.02571767803123999,0.005922610327932995,-0.22545977388393257,-0.05106932767907285,-0.1927755021345954,0.003727,0.006,0.00398,5.894042355998261,3.6724786086539347,5.6040212254037085,5.305520316146911,5.148814691493217,5.27598403851067,4.014468594048596,3.0146590907861732,-200.0,0.2652604885028851,0.22429515283593932,-200.68064747658855,4.014468703076171,3.0146591725204455,-200.0000024541357,8.199244789138548,-19.412160695094986,3.1615803007046246,0.07569581000828164,-0.35090149415508287,-0.0017784748559066513
0.05,0.011771335012729714,-0.03192774531777588,0.0063223352173172875,-0.2840278500438724,-0.027311459598929,-0.23623775994305088,0.003727,0.006,0.00398,6.114441094965519,3.339011936356881,5.751245905772985,5.456595031743217,5.169728876656331,5.402775058525499,5.01332934257217,3.7674311717588025,-200.0,0.4868662017241014,0.41094699390559963,-201.00838872399177,5.013329478774573,3.767431273893956,-200.00000245231612,8.757238183820334,-23.473563424188555,2.9963776041693757,0.0678374688063948,-0.4132416210696548,-0.017457172423097685
0.06,0.012508270855839831,-0.03777871123926446,0.006341414806386544,-0.33978470971697483,0.007558420832418861,-0.2755861759692782,0.003727,0.006,0.00398,6.337139121143803,3.0089160541680413,5.900306840341558,5.6402436128704165,5.172813143671473,5.552971215301715,6.009023564830283,4.519608331675963,-200.0,0.7955913524518892,0.6702955538189689,-201.37755333930573,6.0090237281274455,4.519608454182631,-200.00000245009687,8.76455691810446,-27.103069983257626,2.510385261875216,0.051539103274938984,-0.4651443507883276,-0.0373314220010297
0.07,0.01274872424246229,-0.04316721286513713,0.006022392030824969,-0.39133822342853747,0.05160292964472437,-0.310085687295327,0.003727,0.006,0.00398,6.562071554691954,2.682354702132106,6.0510424173998185,5.854325047786842,5.152420244752753,5.723932516204158,7.000922359011042,5.271071793044591,-200.0,1.1982961424621656,1.007672275112971,-201.77602443351915,7.000922549299374,5.271071935885333,-200.00000244748162,8.279949404605215,-30.257243680845807,1.7565172420775486,0.028190534575401542,-0.5064335295328765,-0.0602994852253341
0.08,0.012539816177548124,-0.048009543830075434,0.005413879015059353,-0.4375869142032398,0.10286012929300495,-0.339221376815765,0.003727,0.006,0.00398,6.789168862434066,2.3594854613156016,6.203287105367272,6.096008546108003,5.104024140541208,5.912679905797851,7.988399220576281,6.021702891072894,-200.0,1.6988051387083964,1.4258180032356524,-202.1914570011691,7.9883994377288845,6.021703054202228,-200.00000244447483,7.370977253866253,-32.90699451817647,0.7902462951361112,-0.0007544953907052349,-0.5371810814465439,-0.08528039263216987
0.09,0.011937982451760143,-0.05224164365829867,0.004568387147051878,-0.47772363223829284,0.15938971439882899,-0.36269227327029635,0.003727,0.006,0.00398,7.018356947171468,2.040459637381497,6.356871630808168,6.361941905749626,5.024216655199747,6.116019377080271,8.970830437975247,6.771383092408901,-200.0,2.2980984921585983,1.9250806362744155,-202.611608944862,8.97083068184225,6.771383275773293,-200.0000024410819,6.110935219074272,-35.03694864404319,-0.33243953637478657,-0.03383109374166093,-0.5576832329984277,-0.1112464724411403
