Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018307793921119666,0.0018307793921119666,0.0018307793921119666,5.036570969495911,5.036570969495911,5.036570969495911,5.037372695792273,5.037372695792273,5.037372695792273,0.0,0.0,-200.0,0.0,0.0,-200.00263799907762,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,-0.0007328854702939036,-0.0007328854702939036,-0.0007328854702939036,-0.12989744487754282,-0.1298974448775429,-0.12989744487754284,0.001813205936985979,0.001813205936985979,0.001813205936985979,5.036570969495911,5.036570969495911,5.036570969495911,5.086676099489076,5.086676099489076,5.086676099489076,0.0,0.0,-200.0,0.0,0.0,-200.1647679130779,0.0,-1.4389247772835927e-14,-200.00000245737616,-5.720246749488307,-5.72024674948831,-5.720246749488309,-0.14282166085352863,-0.14282166085352868,-0.14282166085352865
0.02,-0.0026343388016968894,-0.0026343388016968894,-0.0026343388016968894,-0.2355386375947421,-0.2355386375947422,-0.23553863759474214,0.0018068254716901194,0.0018068254716901194,0.0018068254716901194,5.036570969495911,5.036570969495911,5.036570969495911,5.201524573170469,5.201524573170469,5.201524573170469,0.0,0.0,-200.0,0.0,-1.4393086513794235e-14,-200.54284217024687,0.0,-1.4389247772835927e-14,-200.00000245737616,-12.994607993552993,-12.994607993552995,-12.994607993552995,-0.29892493494931316,-0.29892493494931316,-0.29892493494931327
0.03,-0.005444989374312578,-0.005444989374312592,-0.005444989374312578,-0.3141406790329801,-0.31414067903298026,-0.3141406790329801,0.0018036280646883435,0.0018036280646883437,0.0018036280646883435,5.036570969495911,5.036570969495911,5.036570969495911,5.3669070173217595,5.36690701732176,5.3669070173217595,0.0,0.0,-200.0,0.0,0.0,-201.0882635044063,0.0,-1.4389247772835927e-14,-200.00000245737616,-21.402395180538374,-21.402395180538406,-21.402395180538374,-0.4659575371229724,-0.4659575371229732,-0.46595753712297233
0.04,-0.008887884253045097,-0.008887884253045111,-0.008887884253045097,-0.36478023827822253,-0.36478023827822265,-0.36478023827822276,0.00180120248542776,0.0018012024854277605,0.0018012024854277598,5.036570969495911,5.036570969495911,5.036570969495911,5.566912686479902,5.566912686479903,5.566912686479902,0.0,0.0,-200.0,-4.914698683509169e-15,-1.7239539444814906e-14,-201.74942637656608,0.0,-1.4389247772835927e-14,-200.00000245737616,-30.32971595951207,-30.329715959512093,-30.329715959512086,-0.6332538497105106,-0.6332538497105107,-0.6332538497105111
0.05,-0.012686646901238288,-0.012686646901238302,-0.012686646901238288,-0.3882944655316274,-0.3882944655316274,-0.38829446553162755,0.0018004490720782424,0.0018004490720782427,0.0018004490720782429,5.036570969495911,5.036570969495911,5.036570969495911,5.785763576413423,5.785763576413424,5.785763576413423,0.0,0.0,-200.0,-2.467153460287503e-15,-1.4244117144291066e-15,-202.4748252661267,0.0,-1.4389247772835927e-14,-200.00000245737616,-39.18522430477743,-39.185224304777456,-39.18522430477743,-0.7911826898537867,-0.7911826898537869,-0.7911826898537866
0.06,-0.016581468430000565,-0.01658146843000058,-0.016581468430000565,-0.38695167120863394,-0.3869516712086339,-0.3869516712086341,0.0018004873685959382,0.0018004873685959384,0.0018004873685959382,5.036570969495911,5.036570969495911,5.036570969495911,6.008710768955685,6.008710768955685,6.008710768955685,0.0,0.0,-200.0,0.0,0.0,-203.21586952717774,0.0,-1.4389247772835927e-14,-200.00000245737616,-47.48088925530443,-47.480889255304454,-47.48088925530443,-0.9322197980924638,-0.9322197980924639,-0.9322197980924639
0.07,-0.020341487029482783,-0.02034148702948281,-0.020341487029482797,-0.364111280703213,-0.364111280703213,-0.364111280703213,0.0018012266716472371,0.0018012266716472371,0.0018012266716472373,5.036570969495911,5.036570969495911,5.036570969495911,6.222724584087354,6.222724584087356,6.222724584087355,0.0,0.0,-200.0,-2.486937086792908e-15,-4.307501389552647e-15,-203.92916843887136,0.0,-1.4389247772835927e-14,-200.00000245737616,-54.8160857760159,-54.81608577601596,-54.816085776015925,-1.0506324236944098,-1.0506324236944105,-1.0506324236944096
0.08,-0.023773956153810505,-0.023773956153810533,-0.02377395615381052,-0.32390864160560046,-0.3239086416056003,-0.32390864160560046,0.001803053761103496,0.0018030537611034958,0.0018030537611034964,5.036570969495911,5.036570969495911,5.036570969495911,6.417001894992477,6.417001894992479,6.417001894992478,0.0,0.0,-200.0,-2.4958228909920153e-15,-8.653591002351645e-15,-204.57832598149403,0.0,-1.4389247772835927e-14,-200.00000245737616,-60.88251963898839,-60.88251963898847,-60.882519638988406,-1.1424611964099478,-1.1424611964099494,-1.1424611964099478
0.09,-0.02673030710609231,-0.026730307106092338,-0.026730307106092324,-0.2709305426553227,-0.27093054265532235,-0.2709305426553227,0.0018054798106741973,0.0018054798106741973,0.0018054798106741966,5.036570969495911,5.036570969495911,5.036570969495911,6.5832941661807105,6.583294166180712,6.583294166180711,0.0,0.0,-200.0,-2.5034728821021067e-15,-1.1551236685169565e-14,-205.13520492684853,0.0,-1.4389247772835927e-14,-200.00000245737616,-65.51019715625124,-65.51019715625131,-65.5101971562513,-1.2063503277463006,-1.2063503277463015,-1.2063503277463024
