Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004351608849062665,0.004351608849062665,0.004351608849062665,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,-0.004909519518594475,-0.004909519518594474,-0.004909519518594474,0.0,0.0,-184.0,0.0,-1.2574596653209127e-18,-184.002375716508,0.0,-1.433179351732963e-14,-184.0000024755281,-0.2174888837468515,-0.21748888374685163,-0.21748888374685163,-0.006561687849937975,-0.00656168784993798,-0.00656168784993798
0.01,-0.0007237603125976116,-0.0007237603125976118,-0.0007237603125976118,-0.1295058714836323,-0.12950587148363235,-0.12950587148363238,0.004425731155514682,0.004425731155514682,0.004425731155514683,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.043898912246899464,0.04389891224689949,0.043898912246899485,0.0,0.0,-184.0,-1.7437998518806596e-17,-1.4382136960161913e-14,-184.15149922075767,0.0,-1.433179351732963e-14,-184.0000024755281,-2.7231329921602385,-2.7231329921602403,-2.7231329921602394,-0.08737523807399175,-0.08737523807399182,-0.08737523807399179
0.02,-0.002662126679193367,-0.0026621266791933685,-0.002662126679193368,-0.24404279498772835,-0.24404279498772857,-0.24404279498772852,0.0042401873970324515,0.00424018739703245,0.0042401873970324515,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.16142747902948854,0.16142747902948865,0.16142747902948865,0.0,0.0,-184.0,0.0,-2.8245081852496873e-16,-184.51106066635532,0.0,-1.433179351732963e-14,-184.0000024755281,-6.271073425225909,-6.271073425225917,-6.271073425225914,-0.1825453096225549,-0.1825453096225552,-0.1825453096225551
0.03,-0.005646932969475186,-0.005646932969475191,-0.00564693296947519,-0.3395789523833697,-0.3395789523833699,-0.3395789523833698,0.0034457827079343185,0.00344578270793432,0.00344578270793432,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.3377824979414447,0.337782497941445,0.33778249794144494,0.0,0.0,-184.0,-1.401885325512701e-16,-1.473674043780837e-14,-185.05185900405078,0.0,-1.433179351732963e-14,-184.0000024755281,-12.433957251408748,-12.433957251408751,-12.433957251408744,-0.3200522781534863,-0.32005227815348647,-0.3200522781534862
0.04,-0.0021095396914464146,-0.01305891065781862,-0.013058910657818619,-0.4070885241277613,-0.40708852412776136,-0.40708852412776136,0.0044374120141816645,0.002798606090854661,0.002798606090854662,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.559102735324868,0.5586677249533536,0.5586677249533535,0.0,1.3888888888888888,-184.0,-1.406651888229132e-16,0.0009718755510689341,-185.73179357205612,0.0,1.388888929631816,-184.00000247525816,-6.392864868874582,-27.229748995389347,-27.229748995389336,-0.03711106324608032,-0.6657644778392603,-0.66576447783926
0.05,-0.006626141789314827,-0.01731967555191314,-0.01731961508851717,-0.4818823254842558,-0.43952077156008773,-0.439501539790057,0.0032141813771736725,0.002888230954122925,0.0028882286584978687,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.8218596420966068,0.8045936374329653,0.8045887329828137,0.0,1.3888888888888888,-184.0,-9.527681446408156e-06,0.03873635614348661,-186.50844295392665,0.0,1.388888929631816,-184.00000247525816,-15.784926071136152,-32.60878818153483,-32.60681823822202,-0.425401774621275,-0.6886667248057383,-0.6886225121594709
0.06,-0.01169167567532354,-0.021819088793588622,-0.02181831792922436,-0.5225980679262557,-0.4572327896507314,-0.45710040199131746,0.0027797548649770446,0.0031652766508009937,0.0031652730955089017,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,1.114269123000493,1.0633411347702737,1.0632883129767576,0.0,1.3888888888888888,-184.0,-0.00010306092356313877,0.11479682399873288,-187.34532660019724,0.0,1.388888929631816,-184.00000247525816,-26.524736123087727,-35.45054610728706,-35.44109932999942,-0.6129262898460442,-0.7442143070995686,-0.7440016120350208
0.07,-0.017034858073991785,-0.02642852646157674,-0.026425151622253992,-0.5410389560911253,-0.46149056546854156,-0.4611016549753675,0.0028871369806359303,0.0031653913314579497,0.003165380829235091,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,1.4213590277763093,1.3275918533319073,1.3273742233299455,0.0,1.3888888888888888,-184.0,-0.00042652306757352874,0.21244462173053097,-188.21224153836584,0.0,1.388888929631816,-184.00000247525816,-33.11424995119948,-41.06955279942329,-41.04429513580932,-0.7292719971427352,-0.8420830764993569,-0.8415156153268457
0.08,-0.015079034002961421,-0.03455251258693567,-0.0345430598646277,-0.5442450891825508,-0.45030286944691317,-0.4494897280003389,0.0028460515085295653,0.0031650913976775143,0.0031650697742998,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.7330041950576538,1.5883158446752597,1.5877246376306295,0.0,2.7777777777777777,-184.0,-0.001163854997919735,0.32957066284779996,-189.0799405194088,0.0,2.7777778591786118,-184.00000247444999,-30.021650985231837,-51.18623047182976,-51.13411434449822,-0.5900199495049329,-1.0741080724023595,-1.0729414385543294
0.09,-0.020556218926173098,-0.03886767163805195,-0.03884684299024152,-0.5475840403298805,-0.4150697383571339,-0.4136325809496944,0.0031417135603868974,0.0031641764565715595,0.0031641400944535008,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,2.046907233549686,1.8335219668257805,1.8322419133620038,0.0,2.7777777777777777,-184.0,-0.002530775392003117,0.48861192507741147,-189.92059920673793,0.0,2.7777778591786118,-184.00000247444999,-33.93693061640868,-55.80381800112996,-55.70914853934707,-0.7291044877267051,-1.08156024677011,-1.0794727017901802
0.1,-0.025999908634892023,-0.042781427508294806,-0.04274161512789073,-0.5390573098644207,-0.37056346190772255,-0.36824375283270405,0.00316759435325727,0.0031630854413930796,0.003163030569547815,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,2.3582132045773037,2.0551595398225424,2.05273953773187,0.0,2.7777777777777777,-184.0,-0.00480383699562667,0.6974343722785747,-190.71149014701277,0.0,2.7777778591786118,-184.00000247444999,-40.27848617964541,-59.648921493181646,-59.48915064398216,-0.8549182048154232,-1.1345536620631553,-1.1310663056157344
0.11,-0.03126891186270968,-0.0462031065214629,-0.04613378786340895,-0.5148033776909977,-0.31790590117504935,-0.31438930995501774,0.0031668824258312854,0.003161888796842059,0.0031618125428741423,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,2.658633765343001,2.2481516568584436,2.2439705893887947,0.0,2.7777777777777777,-184.0,-0.00832997518741661,0.949179957423246,-191.43221542751257,0.0,2.7777778591786118,-184.00000247444999,-46.45216152188725,-62.72891579399021,-62.47659311789464,-0.9536593272697432,-1.1730842650037792,-1.1676361642853745
0.12,-0.02877048265609044,-0.05256388444092923,-0.052451240264481724,-0.47742745447853874,-0.25964341654478534,-0.2545923872639302,0.0031658263819988068,0.003160684938975925,0.0031605865584193185,1.264637646746067,-0.6174374392463308,-0.6174374392463308,2.9403772403076003,2.408685375960089,2.4019321294995533,0.0,4.166666666666666,-184.0,-0.013497512472554665,1.2349701819504457,-192.0653833136439,0.0,4.166666788627427,-184.00000247310643,-41.854730453292234,-69.83457284147595,-69.45949584695347,-0.731634089669474,-1.3419433747791678,-1.3339349730419225
0.13,-0.0334120989717179,-0.05476680968372313,-0.054593644306150144,-0.45035129864538875,-0.18852248884613973,-0.1815972329499576,0.003165092686280481,0.0031593882836875873,0.003159272251965644,1.264637646746067,-0.6174374392463308,-0.6174374392463308,3.2046151755766155,2.530865889238998,2.520535568281977,0.0,4.166666666666666,-184.0,-0.020702104102829227,1.5712301436516183,-192.59842733686807,0.0,4.166666788627427,-184.00000247310643,-47.32077509558683,-71.05624895473971,-70.51975595827365,-0.9526882990150124,-1.2799862893144,-1.268610286855518
0.14,-0.03771001180925058,-0.05626440991586311,-0.056009966941779454,-0.4116202807192848,-0.11824207141884006,-0.10907482678313457,0.003164089306984125,0.003158295555483799,0.003158166937199885,1.264637646746067,-0.6174374392463308,-0.6174374392463308,3.448597421627449,2.612653434580624,2.597535676147708,0.0,4.166666666666666,-184.0,-0.030360308628749763,1.9563695399344783,-193.02286231774022,0.0,4.166666788627427,-184.00000247310643,-52.18611416542772,-71.42435702769069,-70.68360504851697,-1.025234845138143,-1.2677929655079339,-1.2522239510379816
