Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,-0.0051455948107556075,-0.005145594810755607,-0.005145594810755607,0.0,0.0,-184.0,0.0,-2.5149094771515618e-18,-184.00165472374772,0.0,-1.433179351732963e-14,-184.0000024755281,-0.2174888837468515,-0.21748888374685163,-0.21748888374685163,-0.006561687849937975,-0.00656168784993798,-0.00656168784993798
0.01,-0.0005019118933221296,-0.0005049729011162212,-0.0005024239490520026,-0.0895682087565943,-0.09039084794688426,-0.08970570603012894,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.02867925419793021,0.028912364055387132,0.028718237694172945,0.0,0.0,-184.0,-0.0003724176840550921,-0.00030137213520397383,-184.1052635017843,0.0,-1.433179351732963e-14,-184.0000024755281,-2.2424259882944244,-1.5509638385489486,-2.1271999019327477,-0.06696065909908863,-0.054417969818992294,-0.0648716369801281
0.02,-0.0018344246782530025,-0.0018594795011857121,-0.001838603814240348,-0.16708393844524075,-0.1707503950883978,-0.1676945114620252,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.10939479457395002,0.11106410774604511,0.10967315869963154,0.0,0.0,-184.0,-0.002671920408178847,-0.0021600744686367025,-184.353777321714,0.0,-1.433179351732963e-14,-184.0000024755281,-4.927159268537499,-3.288332495608312,-4.656386646113943,-0.1357735610945509,-0.10767008318150662,-0.13113459068821368
0.03,-0.0038703157322912173,-0.003958992107701681,-0.0038850673857403584,-0.23142198839201927,-0.24037840113998588,-0.2329084728845433,0.003727,0.006,0.00398,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.22965121105634895,0.23528374603905777,0.23058796265381643,0.0,0.0,-184.0,-0.00903793813591974,-0.007299936025520525,-184.7268035472475,0.0,-1.433179351732963e-14,-184.0000024755281,-8.120656634959463,-5.3609718824846855,-7.669479483202251,-0.20932700160569534,-0.16349250138223015,-0.20184617928163903
0.04,0.0008557934276958367,-0.010313299319469291,-0.010130037450939386,-0.2819874745727132,-0.29888986017631375,-0.28478400175547885,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.38187229130649336,0.39520440096606213,0.38381765969433523,0.0,1.3888888888888888,-184.0,-0.0219706141396753,-0.017019002161785562,-185.20294629000992,0.0,1.388888929631816,-184.00000247525816,-3.323326843563304,-10.35584635148493,-14.997316297120015,-0.033028853281134696,-0.30073769437634057,-0.39422847718778725
0.05,-0.002305245778712566,-0.013533736488814173,-0.01314289899732672,-0.34028494704015266,-0.3397667259586047,-0.31350474230253367,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.5661388438247349,0.5820305441825608,0.5580588080402205,0.0,1.3888888888888888,-184.0,-0.04638848891093425,-0.008727525845665891,-185.76238988618078,0.0,1.388888929631816,-184.00000247525816,-7.622308500693273,-12.77991142215053,-18.338647707637097,-0.23428159459489295,-0.3190695550383823,-0.4072843079915356
0.06,-0.005945099032514218,-0.017109242036694804,-0.01638243249783625,-0.38099942972231876,-0.37054097503351874,-0.33071442197221007,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.7769292079879373,0.788595707472558,0.7445883991049844,0.0,1.3888888888888888,-184.0,-0.08543586851057397,0.02317331246529922,-186.38375758787276,0.0,1.388888929631816,-184.00000247525816,-12.13393421097206,-15.311735954901893,-21.70846057701229,-0.32313462461031295,-0.37155160265135306,-0.4701574621493023
0.07,-0.009905990663892526,-0.02093619537048052,-0.019730087225916324,-0.4061522745161231,-0.3911550524486091,-0.33642239095105264,0.003727,0.006,0.00398,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,1.005225806163148,1.0089885505757898,0.9366589224700861,0.0,1.3888888888888888,-184.0,-0.14090364734795918,0.07288673583629773,-187.04517543076875,0.0,1.388888929631816,-184.00000247525816,-16.728169135724805,-17.889681673122578,-24.99160184143196,-0.4088807643809286,-0.42191612155619135,-0.5282515366281669
0.08,-0.006645801443939569,-0.028475101378677252,-0.02663513100662329,-0.41656695131727595,-0.4021878888517576,-0.33161557750659193,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.2426206197628877,1.2375355071948018,1.1279442213883413,0.0,2.7777777777777777,-184.0,-0.21424498083328042,0.1351733149873348,-187.72581112433957,0.0,2.7777778591786118,-184.00000247444999,-12.812926354370507,-23.09406480773435,-32.02448653596927,-0.23449144461163635,-0.5488544014885232,-0.6987921168961221
0.09,-0.010933480930907825,-0.032479104145189217,-0.029824780942119954,-0.435147641220853,-0.3981153655349255,-0.3080195476129435,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.4891683271963179,1.4666963168875384,1.3093431393796773,0.0,2.7777777777777777,-184.0,-0.308701026695043,0.2291348592143196,-188.4084968292161,0.0,2.7777778591786118,-184.00000247444999,-17.687137689863366,-25.503729204029746,-34.64656219453085,-0.43519249442407637,-0.5544925649261132,-0.6851997187226702
0.1,-0.015309836635333366,-0.03640479179041587,-0.032745384578859955,-0.43759013741257097,-0.3869726230010666,-0.2780557763587767,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.7399759208898555,1.690943088217802,1.4749288707650976,0.0,2.7777777777777777,-184.0,-0.42523943762673305,0.3569691325218462,-189.07605912087692,0.0,2.7777778591786118,-184.00000247444999,-22.39631068372283,-27.79442190728735,-36.89114823199327,-0.516287161363948,-0.5910185576093684,-0.7155414155702308
0.11,-0.019637138757392723,-0.04018215048092667,-0.03533458879961362,-0.4268997265592522,-0.36926890964603787,-0.24254855357640293,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.9872292148697288,1.9063209956704508,1.6212180362432076,0.0,2.7777777777777777,-184.0,-0.5630751307448341,0.5096066692282777,-189.7122579158682,0.0,2.7777778591786118,-184.00000247444999,-26.844600982704808,-29.930122766059046,-38.711831029096636,-0.5892047341243315,-0.623078910007436,-0.7371477652082862
0.12,-0.016342077864887082,-0.04724962809042446,-0.041044013092102746,-0.40469261296751013,-0.3460054722444881,-0.20303972530782186,0.003727,0.006,0.00398,1.264637646746067,-0.6174374392463308,-0.6174374392463308,2.22421570087286,2.109382947022945,1.7455172020390257,0.0,4.166666666666666,-184.0,-0.7207985293583097,0.6788297562569731,-190.30320447610174,0.0,4.166666788627427,-184.00000247310643,-22.382507273060238,-34.493077836872814,-43.97735786357979,-0.39487345558721787,-0.7291856355080294,-0.8674236775404466
