Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003435031471309918,0.003435031471309918,0.003435031471309918,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,-0.0051455948107556075,-0.005145594810755607,-0.005145594810755607,0.0,0.0,-184.0,0.0,-2.5149094771515618e-18,-184.00165472374772,0.0,-1.433179351732963e-14,-184.0000024755281,-0.2174888837468515,-0.21748888374685163,-0.21748888374685163,-0.006561687849937975,-0.00656168784993798,-0.00656168784993798
0.01,-0.0005009543102445413,-0.0005009543102445415,-0.0005009543102445415,-0.08931036724323038,-0.08931036724323042,-0.08931036724323042,0.003423220186992873,0.003423220186992873,0.003423220186992873,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.02860625162236888,0.028606251622368895,0.028606251622368902,0.0,0.0,-184.0,8.716784935936459e-18,-3.522846690461693e-17,-184.10476327795612,0.0,-1.433179351732963e-14,-184.0000024755281,-2.3539884624710368,-2.3539884624710385,-2.353988462471038,-0.06896010826948273,-0.06896010826948278,-0.06896010826948276
0.02,-0.0018263641503849196,-0.0018263641503849207,-0.0018263641503849203,-0.16587326151349488,-0.16587326151349496,-0.16587326151349494,0.0033756094498203623,0.0033756094498203623,0.0033756094498203623,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.10885510825500867,0.10885510825500874,0.1088551082550087,0.0,0.0,-184.0,-6.982734324419133e-17,-1.2094450625649077e-16,-184.35013965634022,0.0,-1.433179351732963e-14,-184.0000024755281,-5.242885791321919,-5.24288579132192,-5.242885791321921,-0.141128287039735,-0.14112828703973504,-0.14112828703973504
0.03,-0.0038399093444211273,-0.00383990934442113,-0.0038399093444211278,-0.22814213959586171,-0.2281421395958618,-0.22814213959586171,0.0032982244755183094,0.0032982244755183085,0.0032982244755183094,-0.005686595269523741,-0.005686595269523741,-0.005686595269523741,0.22770455300736978,0.22770455300736991,0.22770455300736983,0.0,0.0,-184.0,-2.0989695671403044e-16,-2.0197344076821454e-16,-184.7141234505898,0.0,-1.433179351732963e-14,-184.0000024755281,-8.80478588588949,-8.8047858858895,-8.804785885889492,-0.2205879289224504,-0.22058792892245072,-0.22058792892245044
0.04,0.0009378732879813468,-0.010011497678390859,-0.010011497678390853,-0.2749788245096031,-0.2749788245096032,-0.27497882450960304,0.0032729831340622805,0.002921346280456357,0.0029213462804563574,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.3767698307232269,0.3763522588784695,0.3763522588784693,0.0,1.3888888888888888,-184.0,-4.2083642896755e-16,0.0009301880102457392,-185.1707641548599,0.0,1.388888929631816,-184.00000247525816,-2.95244113423003,-19.393518366371556,-19.39351836637154,-0.004007237290348209,-0.500038183127582,-0.5000381831275815
0.05,-0.002141645685587475,-0.012834726680048284,-0.01283468197142797,-0.33075487530308095,-0.2866306150570859,-0.28661626855110395,0.0032515129777908793,0.0027295532257556464,0.002729533941001586,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.5561982120151783,0.5387486992051544,0.5387450574951114,0.0,1.3888888888888888,-184.0,-7.044474355360571e-06,0.03897982037050159,-185.6878858044422,0.0,1.388888929631816,-184.00000247525816,-7.537772973830972,-24.851747347463476,-24.850446355114492,-0.23044565320950694,-0.5132332187718784,-0.5132035468696826
0.06,-0.005663618287838228,-0.015687260577224874,-0.01568666132836542,-0.36713132398651666,-0.28152517038822794,-0.2814190759008178,0.003218008157223954,0.0025747368305926647,0.0025745819761502824,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.7599747180817138,0.7017954811852445,0.7017541426811547,0.0,1.3888888888888888,-184.0,-8.019207627697159e-05,0.1303660413040445,-186.23271593263885,0.0,1.388888929631816,-184.00000247525816,-12.409727629970174,-30.37088708882834,-30.364321341877115,-0.32520049824346153,-0.6059062762176048,-0.6057532209979475
0.07,-0.009447013697709247,-0.018401298637977848,-0.018398472301793894,-0.3844260272810523,-0.26161877120279314,-0.2612731371150386,0.0029352753323023616,0.002576481794625612,0.0025759034480871174,0.4142868312709749,-0.21306591342523187,-0.21306591342523187,0.9776194590820084,0.8561000260699676,0.8559163077079008,0.0,1.3888888888888888,-184.0,-0.00035739974174506305,0.2731733875816135,-186.77509596525422,0.0,1.388888929631816,-184.00000247525816,-19.08028489899551,-33.81517184713077,-33.79767418259584,-0.44629420586843754,-0.6559252948598807,-0.6555077585769225
0.08,-0.005894465166436269,-0.02443245665808763,-0.024423907737392555,-0.37988010161866304,-0.2347049758515178,-0.2339130708363882,0.003209067159093245,0.0029527272830870257,0.0029515407869637827,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.1975407302141294,0.9961472559763138,0.9956089223621468,0.0,2.7777777777777777,-184.0,-0.001050064519081191,0.4542039151889848,-187.29136935311158,0.0,2.7777778591786118,-184.00000247444999,-12.434003508898863,-37.3771615847536,-37.34226379537738,-0.13796718152132947,-0.7357705604095495,-0.734921453154398
0.09,-0.009813922367156742,-0.026602690133706027,-0.026582744609417775,-0.39634192641687566,-0.20258148590978423,-0.20111758187642156,0.00290898297381576,0.0030839890793378476,0.0030819132919235074,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.4227597033665293,1.118658469814064,1.1174270894397544,0.0,2.7777777777777777,-184.0,-0.0024079555726919805,0.6880387580149754,-187.77735238677135,0.0,2.7777778591786118,-184.00000247444999,-19.739988895757627,-37.69220539507711,-37.62563767133396,-0.4631454183092694,-0.7051728521691394,-0.7035707187291355
