Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,-0.0056865952695237,-0.0056865952695237,-0.0056865952695237,-0.0051455948107556,-0.0051455948107556,-0.0051455948107556,0.0,0.0,-184.0,0.0,-2.5149094771515618e-18,-184.0016547237477,0.0,-1.4331793517329633e-14,-184.0000024755281,-0.2174888837468515,-0.2174888837468516,-0.2174888837468516,-0.0065616878499379,-0.0065616878499379,-0.0065616878499379
0.04,0.0008557934276958,-0.0103132993194692,-0.0101300374509393,-0.2819874745727132,-0.2988898601763137,-0.2847840017554788,0.003727,0.006,0.00398,0.4142868312709749,-0.2130659134252318,-0.2130659134252318,0.3818722913064933,0.3952044009660621,0.3838176596943352,0.0,1.3888888888888888,-184.0,-0.0219706141396753,-0.0170190021617855,-185.20294629000992,0.0,1.388888929631816,-184.00000247525816,-3.323326843563304,-10.35584635148493,-14.997316297120015,-0.0330288532811346,-0.3007376943763405,-0.3942284771877872
0.08,-0.0066458014439395,-0.0284751013786772,-0.0266351310066232,-0.4165669513172759,-0.4021878888517576,-0.3316155775065919,0.003727,0.006,0.00398,0.8377436556922286,-0.4169842784555035,-0.4169842784555035,1.2426206197628875,1.2375355071948018,1.1279442213883413,0.0,2.7777777777777777,-184.0,-0.2142449808332804,0.1351733149873348,-187.7258111243396,0.0,2.777777859178612,-184.00000247445,-12.812926354370507,-23.09406480773435,-32.02448653596927,-0.2344914446116363,-0.5488544014885232,-0.6987921168961221
0.12,-0.016342077864887,-0.0472496280904244,-0.0410440130921027,-0.4046926129675101,-0.3460054722444881,-0.2030397253078218,0.003727,0.006,0.00398,1.264637646746067,-0.6174374392463308,-0.6174374392463308,2.22421570087286,2.109382947022945,1.7455172020390255,0.0,4.166666666666666,-184.0,-0.7207985293583097,0.6788297562569731,-190.3032044761017,0.0,4.166666788627427,-184.00000247310643,-22.38250727306024,-34.493077836872814,-43.97735786357979,-0.3948734555872178,-0.7291856355080294,-0.8674236775404466
0.16,-0.0234571120390093,-0.0615829888899392,-0.0484602813038185,-0.3045990221948267,-0.1974452768970685,-0.0047521869921129,0.003727,0.006,0.00398,1.6949213999856334,-0.8144214223418295,-0.8144214223418295,3.056354384434384,2.72504991782266,1.9620727447830573,0.0,5.555555555555555,-184.0,-1.524810692894903,1.6450227288733514,-192.0479576278007,0.0,5.555555717965612,-184.0000024712306,-28.013131318778587,-42.19709057825383,-47.74896057706178,-0.4636348142285001,-0.8212502929321354,-0.8782066214751264
0.2,-0.0259456200911505,-0.0692245540355973,-0.0481689517225633,-0.1876228909222148,-0.0253564995691489,0.1668958279424765,0.003727,0.006,0.00398,2.128546368772262,-1.0079325314075522,-1.0079325314075522,3.625880705832413,2.9595188760175986,1.742127091230594,0.0,6.944444444444445,-184.0,-2.440196784533249,2.95171716493696,-192.6414992642116,0.0,6.944444647180646,-184.00000246882576,-28.697625061969205,-45.482883736057225,-44.28715241327036,-0.4445354150312604,-0.8324583491188707,-0.7747852461729406
0.24,-0.0243075177242576,-0.0703665230732756,-0.0425368505590797,-0.1063055709009098,0.1186786965568541,0.2563068844756784,0.003727,0.006,0.00398,2.5654628969160207,-1.1979673464295078,-1.1979673464295078,3.96435704440884,2.826728283987283,1.224409153015848,0.0,8.333333333333332,-184.0,-3.205832487780634,4.480348534402856,-192.26801171998136,0.0,8.333333576260197,-184.00000246589545,-25.769979834845724,-44.90387612117308,-36.96904211301456,-0.3751574177740435,-0.7867387803968545,-0.6299795209293757
0.28,-0.0204962485035402,-0.0667690653214829,-0.0351572610212206,-0.0809093176269325,0.2075670908234564,0.2559379607556677,0.003727,0.006,0.00398,3.0056202528953464,-1.3845227226503565,-1.3845227226503565,4.184770453619954,2.429048502380128,0.6151705974138282,0.0,9.72222222222222,-184.0,-3.61329026912022,6.126484011719481,-191.3807233301877,0.0,9.722222505192178,-184.00000246244343,-21.55175292653101,-41.764512783407774,-29.550607621395105,-0.3003011403756823,-0.7136735935696715,-0.5091704313668967
0.33,-0.0178001641224562,-0.0584115166422288,-0.027264330774377,-0.1228483472451815,0.2383915761337147,0.1779233938051579,0.003727,0.006,0.00398,3.448966665596679,-1.5675957892444874,-1.5675957892444874,4.475968846712968,1.765486036439477,-0.0155524963071085,0.0,11.11111111111111,-184.0,-3.528273076801061,8.239259552160307,-190.2431432848744,0.0,11.111111433964693,-184.0000024584738,-19.872634815308786,-35.916203399549204,-22.94596735930844,-0.4063810789939746,-0.5811086454448785,-0.3776944449737959
0.37,-0.0157999631393278,-0.0524813272405854,-0.0249510591245858,-0.169458040483569,0.2105943258083752,0.099390553809773,0.003727,0.006,0.00398,3.895449361510757,-1.7471839477341022,-1.7471839477341022,4.810523545903503,1.2477640296979031,-0.323197679345869,0.0,12.5,-184.0,-3.1034364647508474,9.920711306769135,-189.6531765536208,0.0,12.500000362566114,-184.0000024539906,-18.70536356362808,-32.240182053911475,-22.04508242972792,-0.4042299682812452,-0.5327470511086735,-0.3896445697988737
