Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043516088490626,0.0043516088490626,0.0043516088490626,5.036570969495911,5.036570969495911,5.036570969495911,5.036837191355509,5.036837191355509,5.036837191355509,0.0,0.0,-200.0,0.0,0.0,-200.0008776143393,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.2299753620150087,-0.2299753620150088,-0.2299753620150088,-0.0069384076681152,-0.0069384076681152,-0.0069384076681152
0.06,0.0116460653300021,-0.0335264195514837,0.0062041408814583,-0.3824910301415915,0.1816742336765341,-0.2832811072119574,0.0023109076221831,0.0031557738609319,0.0031210919728397,6.337139121143803,3.0089160541680413,5.900306840341558,5.692135492063811,4.918982602228256,5.561283823002454,6.009023564830283,4.519608331675963,-200.0,1.3427006497676928,1.091217591954056,-201.1592843460058,6.0090237281274455,4.519608454182631,-200.00000245009687,12.375721218690927,-41.77154606715584,3.535268234769473,0.0996851563444213,-0.6660449939741332,-0.0224474956988339
0.13,0.0036271758742543,-0.0397502126915793,-0.0005696044055534,-0.573220177948212,0.6883252310794605,-0.4023161179364027,0.0042042183565387,0.0031594737848872,0.0045940622675329,7.954381306723834,0.805592112220557,6.981102431522404,7.77940683638781,3.043427338193862,7.036784432657773,12.837744392288378,9.758229911693014,-200.0,8.407302193040268,6.665459001004598,-202.7279227222367,12.8377447410611,9.758230175305792,-200.0000024237857,-4.319474545123642,-38.24047159304418,-4.882873489156068,-0.2372866248571928,-0.463939923674715,-0.2001206614914905
0.19,-0.0044361011961319,-0.0250159293314468,-0.0063579851169756,-0.5210115720282695,0.7301546375237498,-0.3154920932278099,0.0039163281518472,0.0031602212453846,0.0032297794380267,9.405899054567357,-0.9097454303947016,7.926893715880563,9.689809583125472,0.4818721167711173,8.309109467613757,18.38319442485951,14.18993982142348,-200.0,16.47347371950672,12.889815893480035,-202.56013653108897,18.383194922779342,14.189940202521472,-200.00000238767632,-13.113575271392008,-16.9089433643289,-13.403238067327408,-0.3737704219970292,-0.0975604398802539,-0.320832808618628
0.25,-0.005690283355852,-0.0142632836565888,-0.0051378435451336,-0.3948911775069785,0.509710819111559,-0.2004690652489313,0.0034562211898457,0.0028094793633568,0.0035335055707221,10.893517176796522,-2.442857860225583,8.847035377063689,11.242097023912075,-1.6546035142572837,9.152854593141294,23.511410091698927,18.541019662496844,-200.0,22.683285673832938,18.210221187480816,-201.74900654103337,23.511410725223342,18.54102015637224,-200.0000023416746,-14.41543842915378,-8.729952077522098,-8.973595769421317,-0.3595035512944762,-0.029150864762238,-0.2131435102864587
0.31,-0.0024004690775326,-0.013508796034109,-0.0019650760317977,-0.3869509486133912,0.3190495087333153,-0.2008979757652073,0.0043749780540134,0.0027922332253431,0.0043381469489856,12.390664973371372,-3.7808514710735768,9.698874586037434,12.55041096094723,-3.025023803354167,9.822998734256512,28.10599879195397,22.786745731308063,-200.0,26.95135463747209,22.25030304085596,-201.4106194116992,28.105999544145867,22.786746332178517,-200.00000228896243,-8.391290352136535,-12.512675709717962,-4.247196500123707,-0.2586644488374175,-0.1525541287741439,-0.1358390730891787
0.38,-0.0013691204665598,-0.0166214769112482,-0.0019722890840901,-0.439444248341731,0.2681813265815233,-0.2176181534839966,0.0045502943863075,0.0028584352419026,0.00434800328451,14.111552198438323,-5.087380214250785,10.550638952371475,14.215207505932248,-4.1504092418783465,10.676104663272811,32.653570028687355,27.57479163728927,-200.0,31.18033582388549,26.737221232806775,-201.71078397263088,32.653570894650336,27.57479235480259,-200.0000022236738,-7.836074022362954,-17.847996968831655,-4.176460426506074,-0.2676426519016585,-0.2612551410842934,-0.1413774012851574
0.44,-0.0034851531362398,-0.016099493136284,-0.0044056095507784,-0.4481878301333953,0.2703213183883318,-0.1822061637457076,0.0041626274290055,0.0028465880205116,0.0037452355881248,15.532279474960257,-5.988500476547758,11.11474167833469,15.757622345326048,-5.08154260275961,11.377540445365057,35.75365696605055,31.510477797677744,-200.0,34.68325046754646,30.898001293132285,-201.91458930980036,35.75365790662127,31.510478607865856,-200.00000216845484,-10.769044257010114,-16.846002155724943,-6.862325527164315,-0.3226476913001128,-0.2471263366001979,-0.1783413303294025
0.5,-0.0056296257359235,-0.0131013808287772,-0.0062836174936001,-0.3968836803836162,0.2298477572306902,-0.0955107561573502,0.003475862998483,0.0027829303962029,0.0031657284003989,16.87535205819018,-6.690757680507776,11.490246439801435,17.220578079040266,-5.95321000218295,11.855653861485338,38.04226065180614,35.26711513754839,-200.0,37.54970702759702,35.05499589721682,-201.81787243953528,38.04226164502304,35.26711603375094,-200.00000211724907,-14.370227643883124,-13.486049692444698,-8.912054859226416,-0.3714929495044422,-0.2056824836249,-0.1893749807065709
0.57,-0.0056725394364365,-0.0101993438509821,-0.0066215015548688,-0.3312221940546471,0.1376975636603504,-0.0047651831243698,0.0034337965972358,0.0027439266158797,0.0030552728965662,18.314702304152064,-7.264946568847907,11.65497311409179,18.658661781108812,-6.68837905446319,12.034573399771167,39.61845702786605,39.39514534517738,-200.0,39.46324847109571,39.351974457430224,-201.5554667685524,39.6184580545049,39.3951463337144,-200.00000206597332,-13.407896700196831,-11.568732233290758,-7.9081183890553985,-0.3395732398826661,-0.2039600959654769,-0.1483660077485074
