Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043144717317433,0.0043144717317433,0.0043144717317433,5.036570969495911,5.036570969495911,5.036570969495911,5.036837191355509,5.036837191355509,5.036837191355509,0.0,0.0,-200.0,0.0,0.0,-200.0008776143393,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.2299753620150087,-0.2299753620150088,-0.2299753620150088,-0.0069384076681152,-0.0069384076681152,-0.0069384076681152
0.06,0.012106869311731,-0.0325272284514479,0.0062861873101209,-0.3564811599552544,0.2402293157469002,-0.2781655143868208,0.003421305401535,0.0025878537790261,0.0038951006552144,6.337139121143803,3.0089160541680413,5.900306840341558,5.664197285085861,4.858284445423634,5.556282850583002,6.009023564830283,4.519608331675963,-200.0,1.4583997269200912,1.1024959503103569,-201.05530520879603,6.0090237281274455,4.519608454182631,-200.00000245009687,9.674837620418725,-47.697870912901735,3.40472241401356,0.0612122857240765,-0.7497221130135534,-0.0229332159605336
0.13,0.0060560209139252,-0.0329647655995239,-0.0002812102517448,-0.5685352792999504,0.756034871109869,-0.4031448644080005,0.0047422538718592,0.0025876627582114,0.0045269018091354,7.954381306723834,0.805592112220557,6.981102431522404,7.640027532436694,2.650856701137424,7.020310607978525,12.837744392288378,9.758229911693014,-200.0,9.171466433494306,6.802344847332566,-202.07945811102903,12.8377447410611,9.758230175305792,-200.0000024237857,-1.8340027666271697,-34.785490384601104,-4.986898374720612,-0.1944742457751718,-0.3853501951812804,-0.2022628550114643
0.19,-0.0029257666297285,-0.0176300821260765,-0.0060914562125488,-0.5507737279836957,0.6821896771343523,-0.3091002172881446,0.004177661821703,0.002591489903203,0.0028200388514484,9.405899054567357,-0.9097454303947016,7.926893715880563,9.60500293475687,0.0615403560620676,8.293445658573033,18.38319442485951,14.18993982142348,-200.0,17.27330817574012,13.172713278426428,-201.88741200529967,18.383194922779342,14.189940202521472,-200.00000238767632,-11.532388256555867,-10.742491586805151,-15.197431412385695,-0.3553056497944695,-0.007501151093187,-0.3486667985168293
0.25,-0.0056652523074121,-0.0119288086389003,-0.0042633345490853,-0.3967904900373953,0.4098260577764168,-0.1976255183354844,0.0029192113238156,0.002678045275305,0.0038522879854907,10.893517176796522,-2.442857860225583,8.847035377063689,11.240726639912692,-1.7826550866561015,9.102616289422164,23.511410091698927,18.541019662496844,-200.0,22.822469783989487,18.40449703344216,-201.5115006351892,23.511410725223342,18.54102015637224,-200.0000023416746,-16.950696771509573,-8.03174303166617,-7.159228183710164,-0.4018943404371751,-0.0468455603383236,-0.1819470870211301
0.31,-0.0021690025613428,-0.0153430166430243,-0.0014960024395061,-0.3841256564116433,0.2923291879218335,-0.2120056186390061,0.0042887269917257,0.0026052073077308,0.004338832572894,12.390664973371372,-3.7808514710735768,9.698874586037434,12.536989309114144,-2.9184937902455474,9.796760940470312,28.10599879195397,22.786745731308063,-200.0,26.6864831451324,22.131985524981356,-201.5393853720591,28.105999544145867,22.786746332178517,-200.00000228896243,-8.086530892677292,-17.138273725783833,-3.718731863329815,-0.2527651100496269,-0.2384002880565199,-0.1301055567233729
0.38,-0.0010711113757828,-0.01705757785738,-0.0021763167716783,-0.4404461991464469,0.3163870209343735,-0.2237884215408014,0.0044531379381783,0.0025942502661489,0.0042530210230831,14.111552198438323,-5.087380214250785,10.550638952371475,14.19819290580936,-4.128196888105175,10.688139891368271,32.653570028687355,27.57479163728927,-200.0,31.163454068011102,26.65687979602619,-201.7448398243152,32.653570894650336,27.57479235480259,-200.0000022236738,-7.632499636900068,-19.32937036458171,-4.499205630762948,-0.2645743846481923,-0.2719759396518408,-0.1485736043527452
0.44,-0.0032938645545846,-0.0140675214891629,-0.0047087618191442,-0.4502589595618628,0.2938976004305231,-0.1798671464167941,0.0040976371760916,0.0026216387703219,0.0036749203748991,15.532279474960257,-5.988500476547758,11.11474167833469,15.746781394394237,-5.199268427056115,11.394767891752112,35.75365696605055,31.510477797677744,-200.0,34.941499297391765,30.96905548492154,-201.7240434003104,35.75365790662127,31.510478607865856,-200.00000216845484,-10.813234632256425,-14.620123043257616,-7.441212673091076,-0.3239668720524374,-0.2025443013852571,-0.1876462430203025
0.5,-0.0054908838399347,-0.0111964760254967,-0.0059672879869485,-0.3907318017571581,0.20609795346603,-0.0792995946272106,0.0030293641154016,0.0027223603613654,0.002878066989459,16.87535205819018,-6.690757680507776,11.490246439801435,17.21224905104659,-6.060962007598968,11.836602204552586,38.04226065180614,35.26711513754839,-200.0,37.70485849027598,35.15899294678301,-201.608455692888,38.04226164502304,35.26711603375094,-200.00000211724907,-16.04824889825011,-11.406730302314235,-9.13168637724628,-0.3983301561349809,-0.1775210859066792,-0.1880647632588086
0.57,-0.0048157724248381,-0.0104307745416293,-0.005720141042025,-0.3308857971046373,0.111767480257956,-0.0072888793258831,0.0036148657618482,0.0027794649430871,0.0029696063426436,18.314702304152064,-7.264946568847907,11.65497311409179,18.60958236329166,-6.673656254776764,11.983090478311697,39.61845702786605,39.39514534517738,-200.0,39.31379783453767,39.26431354214149,-201.50828552605932,39.6184580545049,39.3951463337144,-200.00000206597332,-11.76364091182123,-12.449916683052084,-6.981051207515884,-0.3117074526801281,-0.226364861563795,-0.1335096539817795
