Time,e1,e2,e3,edot1,edot2,edot3,mu1,mu2,mu3,SetAngle1,SetAngle2,SetAngle3,ActualAngle1,ActualAngle2,ActualAngle3,X0,Y0,Z0,Actual_X,Actual_Y,Actual_Z,X_Set,Y_Set,Z_Set,refCurr1,refCurr2,refCurr3,ActualCurr1,ActualCurr2,ActualCurr3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.0368371913555094,5.0368371913555094,5.0368371913555094,0.0,0.0,-200.0,0.0,0.0,-200.00087761433926,0.0,-1.4389247772835927e-14,-200.00000245737616,-0.22997536201500873,-0.22997536201500882,-0.22997536201500882,-0.0069384076681152035,-0.006938407668115205,-0.006938407668115205
0.01,-0.0002475018006694585,-0.00024941032703831856,-0.0002478207151481865,-0.0441003791061022,-0.044612385927573314,-0.044185831129192804,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.0535113291076454,5.0536565743040205,5.053535588783649,0.0,0.0,-200.0,-0.00025160497329566693,-0.00020352013086482563,-200.05588273656403,0.0,-1.4389247772835927e-14,-200.00000245737616,-1.239394645226693,-0.8911283853697209,-1.181465286708946,-0.03527986794408801,-0.028994940102341167,-0.03423516486355305
0.02,-0.0009007356230627817,-0.0009162434306858175,-0.0009033154438482516,-0.08165034099199206,-0.08390952887463968,-0.08202517254736848,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.093050582798268,5.094083012736581,5.093222255789516,0.0,0.0,-200.0,-0.0017911994826424753,-0.0014466595239522387,-200.18705786553704,0.0,-1.4389247772835927e-14,-200.00000245737616,-2.5633661579583675,-1.747365604340414,-2.429081173548543,-0.06900537049552113,-0.05514928734260658,-0.06672788530495787
0.03,-0.0018905953043242552,-0.0019450475832075986,-0.0018996115188688462,-0.11207560880307915,-0.11753552610449713,-0.11297576189558167,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.151466779577805,5.154922647953192,5.152038725883693,0.0,0.0,-200.0,-0.00600703470865437,-0.00484378908133226,-200.3824054022691,0.0,-1.4389247772835927e-14,-200.00000245737616,-4.118976659594746,-2.762590206172203,-3.8986645679137895,-0.10455148393115937,-0.08235158357628045,-0.10095322021018757
0.04,-0.0031443212514113833,-0.003278121988565627,-0.0031663659173953446,-0.13514464207795432,-0.14533224352934393,-0.13681268200799532,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.22457948833263,5.232861234436789,5.22594326375728,0.0,0.0,-200.0,-0.014427047112365119,-0.011613502315116134,-200.6294003160097,0.0,-1.4389247772835927e-14,-200.00000245737616,-5.825296244878835,-3.901537786887734,-5.517764219811123,-0.14049097757382556,-0.10996517512878684,-0.13562874318039275
0.05,-0.004588378190555312,-0.004856957669229486,-0.004632394302988618,-0.15090139722517074,-0.1672801900708131,-0.15356305041665275,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.308179447803947,5.324546090742086,5.31086021900652,0.0,0.0,-200.0,-0.02858086043812623,-0.02296555804882904,-200.91539265313574,0.0,-1.4389247772835927e-14,-200.00000245737616,-7.605259159179996,-5.129862249144638,-7.217134722896171,-0.17554152984282914,-0.13740836824282424,-0.1695988629222494
0.06,-0.006151035675918931,-0.006623550173327206,-0.006228037184245347,-0.1596327890936188,-0.18348490006604465,-0.16347727104442225,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.39817452379642,5.426660523819377,5.402813923053247,0.0,0.0,-200.0,-0.049875708682974425,-0.040000084718978736,-201.22797376840097,0.0,-1.4389247772835927e-14,-200.00000245737616,-9.387835947931697,-6.414687070587792,-8.932577085607075,-0.20859280254446366,-0.1641597765997641,-0.2018574336256376
0.07,-0.00776459676255685,-0.008521569136403187,-0.007887215413838258,-0.16183161828012793,-0.1941621145528908,-0.16699630457328477,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.49071525837207,5.535989985408299,5.498044567330076,0.0,0.0,-200.0,-0.07948997325176521,-0.06362208633584944,-201.55530055231267,0.0,-1.4389247772835927e-14,-200.00000245737616,-11.109775176035505,-7.725073256208061,-10.606425074580816,-0.23872496598873627,-0.18976193087766077,-0.2315632609806992
0.08,-0.009367239411382539,-0.010497375061792477,-0.009549143605509847,-0.15815675083840078,-0.1996221895229128,-0.16471647112763182,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.582298082682022,5.649479432782352,5.593104348614695,0.0,0.0,-200.0,-0.11828730598720891,-0.09447362811912331,-201.8863729145222,0.0,-1.4389247772835927e-14,-200.00000245737616,-12.716902656129648,-9.032405081628042,-12.18866846716419,-0.26521898735909405,-0.21382329213633372,-0.2580487915783836
0.09,-0.010904452409454576,-0.012500877817548814,-0.011159684666422434,-0.14939221179739992,-0.20025413182924143,-0.15735319920494556,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.669845244034277,5.764281601385599,5.684932999121097,0.0,0.0,-200.0,-0.16675347611686225,-0.13288533405265912,-202.21126103232945,0.0,-1.4389247772835927e-14,-200.00000245737616,-14.164980227353754,-10.31069658031941,-13.637715830873514,-0.28755919650240386,-0.2360188336280531,-0.2808224379252655
0.1,-0.012330063324012278,-0.014486235182893215,-0.012672342071764944,-0.13640668907945475,-0.19650963152475545,-0.1457050013995347,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.7507613897202186,5.877796114780112,5.770912580603991,0.0,0.0,-200.0,-0.22495713443908655,-0.1788480017970296,-202.52128026585638,0.0,-1.4389247772835927e-14,-200.00000245737616,-15.420139433776276,-11.536823053690563,-14.920809944717266,-0.3054288203327197,-0.2560893683485976,-0.2995651295731883
0.11,-0.013606869934103732,-0.016412393269086667,-0.014048898463232748,-0.12011475189641554,-0.18888742318260077,-0.13061879981775068,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.822967536835353,5.987699555297017,5.8489020975439105,0.0,0.0,-200.0,-0.29253466796828603,-0.2320042634507706,-202.80911313401893,0.0,-1.4389247772835927e-14,-200.00000245737616,-16.458917630070484,-12.69068268924185,-16.014118284850923,-0.3186993269969202,-0.27383980238195704,-0.3141217921154798
0.12,-0.014706898480842417,-0.018243473747701508,-0.015259719438483643,-0.10144087788668134,-0.17791826869062793,-0.11295755079142959,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.884913826897374,6.091966794548282,5.91725306380198,0.0,0.0,-200.0,-0.36869827819034645,-0.2916593406635471,-203.0688792728232,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.26793471132623,-13.75529371143064,-16.902528919656703,-0.32741454031317935,-0.28913648792977803,-0.3244885391831387
0.13,-0.015611321823214397,-0.01994901550923947,-0.01628374990120024,-0.08128716499401657,-0.16415081091404451,-0.09357093716536849,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.935573009933593,6.188884034597037,5.974807633878223,0.0,0.0,-200.0,-0.45226542182649915,-0.356809115195531,-203.29615578442883,0.0,-1.4389247772835927e-14,-200.00000245737616,-17.843257451087325,-14.716832460506465,-17.579188530178804,-0.331770569973919,-0.30190383677884985,-0.3307964174435236
0.14,-0.016310078138504422,-0.02150408062240275,-0.01710823701728449,-0.06050538482549762,-0.14813850259287104,-0.07326971357628168,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,5.97441702286797,6.277054136761475,6.020881281940297,0.0,0.0,-200.0,-0.5417068709893732,-0.4261830169473062,-203.48795175713698,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.18950502356273,-15.564617524647046,-18.0448239702407,-0.3320926504659763,-0.31212033735574257,-0.333292570799337
0.15,-0.01680123619000995,-0.022889236256958295,-0.01772821868747705,-0.03987382019732068,-0.13042776921575436,-0.05280411119507898,0.003727,0.006,0.00398,5.036570969495911,5.036570969495911,5.036570969495911,6.001379323279948,6.355394915124638,6.055232280304666,0.0,0.0,-200.0,-0.6352099381222037,-0.4982986689637006,-203.64264192669725,0.0,-1.4389247772835927e-14,-200.00000245737616,-18.318753472332485,-16.29104467898806,-18.306891745905073,-0.32880998989917226,-0.31981409917776893,-0.33231968806412654
